Username,Comment sentiment,Comment subjectivity,Date,Likes,Replies,Link
              @michaelporter-lo9qc            ,-0.6232,0.765327380952381,23-02-2023,383,100,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @walterf6993            ,0.9661,0.6097619047619047,23-02-2023,76,4,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @gretchen9716            ,0.9501,0.5509090909090909,23-02-2023,31,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @melissalarson2569            ,0.9628,0.95,23-02-2023,44,15,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @joenorthpeigan3197            ,0.9719,0.5666666666666667,23-02-2023,19,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @misscrikey23            ,0.8591,0.55,03-06-2023,9,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @ronniesearcy6602            ,0.3612,0.5,03-02-2023,13,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @matronista            ,0.4588,0.52,03-09-2023,3,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @adriankoola6754            ,-0.5543,0.5666666666666668,03-11-2023,11,5,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @wheeler3073            ,0.9485,0.32499999999999996,23-02-2023,44,2,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @galestandardsllc2802            ,-0.8801,0.5310894660894661,23-02-2023,8,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @Chosen2376            ,0.8872,0.43472222222222223,03-07-2023,6,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @jenihansen7201            ,0.5719,0.0,23-02-2023,6,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @bonniebulow7654            ,0.5229,0.0,23-02-2023,14,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @jillchandler8532            ,0.8433,0.8,23-02-2023,4,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @coinhoarder432            ,0.8516,0.265,23-02-2023,7,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @karintraut8151            ,0.5859,0.9,23-02-2023,5,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @SpadeAce            ,0.0,0.38500000000000006,23-02-2023,10,10,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @slaven6999            ,-0.6369,0.5,03-07-2023,2,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @michelletrew4872            ,0.9948,0.6416666666666666,23-02-2023,4,3,https://www.youtube.com/watch?v=oz2n-rQCWzI
