,Username,Comment,Likes,Replies,Date,link
0,,Explore Our FREE Courses With Completion Certificate: https://www.youtube.com/watch?v=-caxhMlw_04,35,2,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgwRrws1r2evYsc9zV14AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
1,,"Hi everyone, exactly a week ago, we conducted a quiz contest in this video. The answer to the quiz is given below:
Option D: AI that develops emotions over time
Explanation: An AI which develops emotions does not exist as of now. Such an AI would be classified as Strong AI and we haven't yet cracked the code for it. Option D is the correct answer.

- Saudi Arabi has granted citizenship to an AI named Sophia.
- Kengoro is an AI robot built by some Japanese researchers that has an intricate muscular system.
- IBM Watson has the capability to recognize emotions based on speech and their undertone. 
Hence, options A, B and C are wrong.

We are pleased to announce the 3 lucky winners who got the right answer for our quiz:
1. Eragon Ritter
2. Sree Arpita
3. Jorge Bassig
Congratulations to all the winners! They've won an Amazon voucher worth INR 500.",53,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgyrkXgbAWK5V3DYc8Z4AaABAg"" spellcheck=""false"">3 years ago (edited)</a>",https://www.youtube.com/watch?v=ad79nYk2keg
2,              Anisha Bose            ,"Option D is yet to be deciphered, in my opinion.
A great learning video. Eloquently expressed. Thank you",72,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgzFbesCYaJJANOd67d4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
3,              Sean S.            ,"Speaking of what you said, I predict that in the future we will probably have robot teachers that can teach kids properly than actual real human teachers.",101,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgxwXLo8zLxR6Zzy0ep4AaABAg"" spellcheck=""false"">8 months ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
4,              Alberto Salvador Hernández Ruiz            ,"Option D. I think that emotions are one of the last steps of development for A.I's and then, if possible, conscience. Maybe it's mere science fiction or maybe not.",20,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugw_CGnFzbud5bfk9yJ4AaABAg"" spellcheck=""false"">7 months ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
5,              Yash Tiwari            ,"I'm a content writer and if I'm lost somehow in topics, your videos help a lot so thank you very much. It helps throughout my work",42,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugy_4aNOCASrOOYYacx4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
6,              Dharshan S            ,"Option D : AI that develops emotions over time.                                                                                             
The video is helpful for my studies
Thank you 
",14,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugw7oaMbrn4c9PVi46N4AaABAg"" spellcheck=""false"">8 months ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
7,              Rajeshawari Rajeshawari marutheppa            ,"Artificial intiligence means logic, identify,creativity,observestion,knowledge, etc.....I love art.int.(AI)",8,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgxjufJs8Jv8XHFJQ7x4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
8,              Rupa Singh            ,Option D AI that develops emotion over time..I think as of now no robot can generate or develope any emotions..it can only read or guess( assume) the emotions of the owner through their previous data..,5,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugz0xtM7N-XKpSzQXDV4AaABAg"" spellcheck=""false"">11 months ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
9,              NZ MUSES            ,I think a big difference will constantly happen between HUMAN and AI. If they get  their own decision Or natural selection by their own then something could happen....bad or good.,4,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugzk79s_OA7NuI9hKx54AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
10,              Less & Better            ,Great explanation video!  Now I'm curious since this video is over 3 years old.  Still going with option D - AI that develops emotion over time does not exist.,1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgyHm8B2crWSEe2Ylk94AaABAg"" spellcheck=""false"">2 months ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
11,              Crazy Thoughts From MGM.            ,"Sir, it's option A. Thank you for  giving more information about AI.",5,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugx5uMjl5efgaVSR-G94AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
12,              Ramprasad G            ,Nice video. A quick learn about AI. Thank you and the answer is D. AI that develops emotions over time.,5,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgxTYoVq0DayTH3FVVl4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
13,              aura            ,Funfact : AlphaGo (the very intelligent go player) is actually one of the best AI in chess too. For chess its refered as AlphaZero.,7,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgwVB1GdDIb4cjC041F4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
14,              Eragon Ritter            ,"A - Robot with citizenship exists
B- robots with muscular skeltal system exists (e.g. Festo is building a lot of robots with muscular systems)
C - AI can read human emotions by words and face recognition (e.g. IBM Watson has capabilities for Emotion Detection among others)
D- AI that does develop emotions over time does not exists yet and there is a lot of work needed to develop an AI that is capable of developing emotions


So the Answer is D.",65,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugwl_tQR61efPQdebCx4AaABAg"" spellcheck=""false"">3 years ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
15,              WAN YI FENG            ,Option D is under development however option C may come into development as well.,2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgzFFybsyueybWj7pZh4AaABAg"" spellcheck=""false"">3 years ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
16,              Irizpro Learning Solutions            ,That's a great way of explaining a complicated term!,4,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgyGaHRLZyJApC5geEh4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
17,              Ajith Krrish            ,"Thanks for your video, because I am concerned about this AI,as I am completely belongs to different stream though I don't know much more about it. So this video taught me a lot of information precisely, time management.",3,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgxMKCjDoKhRkkna6cJ4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
18,              Alexes Nova            ,"What is An AI?
Ans:
Artificial intelligence (AI), sometimes called machine intelligence, is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans and animals.",15,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgxHFanzBVAzLsq3aR54AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
19,              Sangeetha Dhanasekaran            ,"The answer is definitely D. Sophia was given citizenship of Saudi Arabia. Kenshiro have muscles which was created by researchers of University of Tokyo. Some researchers are teaching robots to recognize emotions through facial expressions, and then react appropriately as in the endhiran movie. And the last one not yet found.",2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgyTLrZLfjGUKbl8x7h4AaABAg"" spellcheck=""false"">1 year ago (edited)</a>",https://www.youtube.com/watch?v=ad79nYk2keg
20,              NERDSMYSPIRITANIMAL            ,I doubt this will become possible in my time... But I thought of a computer that could see patterns and mimic Inserted Personalities. Being able to detect the pattern and commen traits to the personality. It could then replicate it. So essentially you could talk with a character that isn't real.,2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgyeOlUn4rT_4mG5hHd4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
21,              Hrishita Acharyya            ,Option D is correct as there is no Ai project which has its own emotions,1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugzoy8wumxADlLujSNR4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
22,              Benny Scarcelli            ,"For now:
D. Al that develops emotions over time

This capability will likely eventuate when strong AI systems will be developed, rather than the task oriented weak AI we currently have",5,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugx28pCgNF1fpERTZ1J4AaABAg"" spellcheck=""false"">1 year ago (edited)</a>",https://www.youtube.com/watch?v=ad79nYk2keg
23,              Shradha Pattar            ,Really helped me a lot thanks a lot,1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugx84VYKTTKyFyb1CoF4AaABAg"" spellcheck=""false"">3 years ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
24,              Ghalia Mohamed            ,"I’m so confused, which major shall I choose IT infrastructure major or Ai artificial intelligence major , I want a major that will make me benefit from it a lot.. for example a good salary etc..",3,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugwn6x9sl7STyFc_JbZ4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
25,              A SRINIDHI            ,"Definitely option D.
As AI can't develop emotions over time...",1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgxDsScF2eG2MyykO6l4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
26,              Minga 💐🖤            ,"D - AI that develops emotions over the time 
It is the answer ",3,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=Ugwdmd0PrJvb1jPauvp4AaABAg"" spellcheck=""false"">10 months ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
27,              Basant Saini            ,"Option D is correct because they have no human system,they can develop only emotions .",1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=ad79nYk2keg&amp;lc=UgzmtoFNQP9jNXaYs-t4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=ad79nYk2keg
