,Username,Comment,Likes,Replies,link
0,,Explore Our FREE Courses With Completion Certificate: https://www.youtube.com/watch?v=-caxhMlw_04,35,2,https://www.youtube.com/watch?v=ad79nYk2keg
1,,"Hi everyone, exactly a week ago, we conducted a quiz contest in this video. The answer to the quiz is given below:
Option D: AI that develops emotions over time
Explanation: An AI which develops emotions does not exist as of now. Such an AI would be classified as Strong AI and we haven't yet cracked the code for it. Option D is the correct answer.

- Saudi Arabi has granted citizenship to an AI named Sophia.
- Kengoro is an AI robot built by some Japanese researchers that has an intricate muscular system.
- IBM Watson has the capability to recognize emotions based on speech and their undertone. 
Hence, options A, B and C are wrong.

We are pleased to announce the 3 lucky winners who got the right answer for our quiz:
1. Eragon Ritter
2. Sree Arpita
3. Jorge Bassig
Congratulations to all the winners! They've won an Amazon voucher worth INR 500.",50,0,https://www.youtube.com/watch?v=ad79nYk2keg
2,              Anisha Bose            ,"Option D is yet to be deciphered, in my opinion.
A great learning video. Eloquently expressed. Thank you",71,0,https://www.youtube.com/watch?v=ad79nYk2keg
3,              Sean S.            ,"Speaking of what you said, I predict that in the future we will probably have robot teachers that can teach kids properly than actual real human teachers.",100,0,https://www.youtube.com/watch?v=ad79nYk2keg
4,              Alberto Salvador Hernández Ruiz            ,"Option D. I think that emotions are one of the last steps of development for A.I's and then, if possible, conscience. Maybe it's mere science fiction or maybe not.",19,0,https://www.youtube.com/watch?v=ad79nYk2keg
5,              Dharshan S            ,"Option D : AI that develops emotions over time.                                                                                             
The video is helpful for my studies
Thank you 
",14,0,https://www.youtube.com/watch?v=ad79nYk2keg
6,              Yash Tiwari            ,"I'm a content writer and if I'm lost somehow in topics, your videos help a lot so thank you very much. It helps throughout my work",41,0,https://www.youtube.com/watch?v=ad79nYk2keg
7,              Rajeshawari Rajeshawari marutheppa            ,"Artificial intiligence means logic, identify,creativity,observestion,knowledge, etc.....I love art.int.(AI)",8,0,https://www.youtube.com/watch?v=ad79nYk2keg
8,              Rupa Singh            ,Option D AI that develops emotion over time..I think as of now no robot can generate or develope any emotions..it can only read or guess( assume) the emotions of the owner through their previous data..,5,0,https://www.youtube.com/watch?v=ad79nYk2keg
9,              NZ MUSES            ,I think a big difference will constantly happen between HUMAN and AI. If they get  their own decision Or natural selection by their own then something could happen....bad or good.,4,0,https://www.youtube.com/watch?v=ad79nYk2keg
10,              Less & Better            ,Great explanation video!  Now I'm curious since this video is over 3 years old.  Still going with option D - AI that develops emotion over time does not exist.,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
11,              WAN YI FENG            ,Option D is under development however option C may come into development as well.,2,0,https://www.youtube.com/watch?v=ad79nYk2keg
12,              Ramprasad G            ,Nice video. A quick learn about AI. Thank you and the answer is D. AI that develops emotions over time.,5,0,https://www.youtube.com/watch?v=ad79nYk2keg
13,              Irizpro Learning Solutions            ,That's a great way of explaining a complicated term!,4,0,https://www.youtube.com/watch?v=ad79nYk2keg
14,              aura            ,Funfact : AlphaGo (the very intelligent go player) is actually one of the best AI in chess too. For chess its refered as AlphaZero.,7,0,https://www.youtube.com/watch?v=ad79nYk2keg
15,              Crazy Thoughts From MGM.            ,"Sir, it's option A. Thank you for  giving more information about AI.",5,0,https://www.youtube.com/watch?v=ad79nYk2keg
16,              Ajith Krrish            ,"Thanks for your video, because I am concerned about this AI,as I am completely belongs to different stream though I don't know much more about it. So this video taught me a lot of information precisely, time management.",3,0,https://www.youtube.com/watch?v=ad79nYk2keg
17,              Sangeetha Dhanasekaran            ,"The answer is definitely D. Sophia was given citizenship of Saudi Arabia. Kenshiro have muscles which was created by researchers of University of Tokyo. Some researchers are teaching robots to recognize emotions through facial expressions, and then react appropriately as in the endhiran movie. And the last one not yet found.",2,0,https://www.youtube.com/watch?v=ad79nYk2keg
18,              Eragon Ritter            ,"A - Robot with citizenship exists
B- robots with muscular skeltal system exists (e.g. Festo is building a lot of robots with muscular systems)
C - AI can read human emotions by words and face recognition (e.g. IBM Watson has capabilities for Emotion Detection among others)
D- AI that does develop emotions over time does not exists yet and there is a lot of work needed to develop an AI that is capable of developing emotions


So the Answer is D.",65,0,https://www.youtube.com/watch?v=ad79nYk2keg
19,              Alexes Nova            ,"What is An AI?
Ans:
Artificial intelligence (AI), sometimes called machine intelligence, is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans and animals.",15,0,https://www.youtube.com/watch?v=ad79nYk2keg
20,              NERDSMYSPIRITANIMAL            ,I doubt this will become possible in my time... But I thought of a computer that could see patterns and mimic Inserted Personalities. Being able to detect the pattern and commen traits to the personality. It could then replicate it. So essentially you could talk with a character that isn't real.,2,0,https://www.youtube.com/watch?v=ad79nYk2keg
21,              Hrishita Acharyya            ,Option D is correct as there is no Ai project which has its own emotions,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
22,              Minagee dinulya            ,"D - AI that develops emotions over the time 
It is the answer ",3,0,https://www.youtube.com/watch?v=ad79nYk2keg
23,              Basant Saini            ,"Option D is correct because they have no human system,they can develop only emotions .",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
24,              Benny Scarcelli            ,"For now:
D. Al that develops emotions over time

This capability will likely eventuate when strong AI systems will be developed, rather than the task oriented weak AI we currently have",5,0,https://www.youtube.com/watch?v=ad79nYk2keg
25,              Crazy Siblings            ,I think the answer should be option C. AI that can read owner's emotions. But on the research update of 2020 reported that there is a robot named Milo which can analyze the emotions and feelings of children and elders. But its not launched yet......,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
26,              Ghalia Mohamed            ,"I’m so confused, which major shall I choose IT infrastructure major or Ai artificial intelligence major , I want a major that will make me benefit from it a lot.. for example a good salary etc..",3,0,https://www.youtube.com/watch?v=ad79nYk2keg
27,              Vaibhavi            ,option d as far as I know but your videos are very helpful to me.Thanks,2,0,https://www.youtube.com/watch?v=ad79nYk2keg
28,              Fravarti            ,"thanks, video was soooo good ;) learned a lot of it",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
29,              Loop            ,Please tell that which application you use to explain?? Anyway great video ,3,0,https://www.youtube.com/watch?v=ad79nYk2keg
30,              Pooja Gupta            ,"Shared this video with my friends too over WhatsApp, thank you Simplilearn for providing such videos. 
Answer is D",6,0,https://www.youtube.com/watch?v=ad79nYk2keg
31,              A SRINIDHI            ,"Definitely option D.
As AI can't develop emotions over time...",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
32,              Abul            ,I think it is D-AI that develops emotions in very time.,2,0,https://www.youtube.com/watch?v=ad79nYk2keg
33,              Shradha Pattar            ,Really helped me a lot thanks a lot,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
34,              Aditya and tanish            ,"A. Sophia has citizenship
B. There are robots with muscular skeletal systems
C. AI can recognise emotions by looking at face patterns.. And other stuff
D. Not yet invented",2,0,https://www.youtube.com/watch?v=ad79nYk2keg
35,              LTS Group            ,wow. very helpful video. Thanks :),1,0,https://www.youtube.com/watch?v=ad79nYk2keg
36,              Aadya Gautam            ,The answer is definitely D. An AI still cannot develop emotions according to time...,9,0,https://www.youtube.com/watch?v=ad79nYk2keg
37,              Nour Dey            ,thank you so much ... I liked the video ...your way of explaining is superb,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
38,              Broley            ,An AI that develops emotions overtime.,5,0,https://www.youtube.com/watch?v=ad79nYk2keg
