Name,views,duration,date,link
What Is Artificial Intelligence? | 🔥Artificial Intelligence Course | AI In 5 Minutes | |Simplilearn,"1,162,020","5 minutes, 28 seconds",3 years ago,https://www.youtube.com/watch?v=ad79nYk2keg
How will AI change the world?,"715,541","5 minutes, 56 seconds",3 months ago,https://www.youtube.com/watch?v=RzkD_rTEBYs
Steven Spielberg Talks Artificial Intelligence with Stephen Colbert,"50,869","3 minutes, 37 seconds",1 day ago,https://www.youtube.com/watch?v=tSoCtw5vNS0
KSP: Conquering Jool using Artificial Intelligence!,"92,186",Unknown,18 hours ago,https://www.youtube.com/watch?v=OEg6XuXVsdM
Artificial Intelligence: Last Week Tonight with John Oliver (HBO),"5,131,157",Unknown,10 days ago,https://www.youtube.com/watch?v=Sqa8Zo2XWc4
"Generative AI Is About To Reset Everything, And, Yes It Will Change Your Life | Forbes","518,759",Unknown,2 weeks ago,https://www.youtube.com/watch?v=WY518YRfs5M
The Danger of AI | Scary Technology | Artificial Intelligence | Documentary,"67,819",Unknown,2 weeks ago,https://www.youtube.com/watch?v=5guiUrgcblM
Artificial intelligence and algorithms: pros and cons | DW Documentary (AI documentary),"10,008,005",Unknown,3 years ago,https://www.youtube.com/watch?v=s0dMTAQM4cw
"ChatGPT: Artificial Intelligence, chatbots and a world of unknowns | 60 Minutes","158,052","13 minutes, 22 seconds",2 days ago,https://www.youtube.com/watch?v=1wzPr4cUoMQ
¿Qué es y cómo funciona la INTELIGENCIA ARTIFICIAL?,"633,205","8 minutes, 33 seconds",1 year ago,https://www.youtube.com/watch?v=_tA5cinv0U8
"AI robot terrifies officials, explains our illusion, with Elon Musk.","7,012,376",Unknown,3 months ago,https://www.youtube.com/watch?v=zKUA72Ka0zA
What is Artificial Intelligence Exactly?,"2,013,946","9 minutes, 21 seconds",6 years ago,https://www.youtube.com/watch?v=kWmX3pd1f10
