,Username,Comment,Likes,Replies,link
0,              @Graybeard_            ,"As a retired English teacher, when determining whether someone has plagiarized their paper, the process is usually pretty straightforward. First, compare the style and quality of writing to the student's other written communications. Second meet with the student and ask them questions derived directly from their paper that requires expanding on the information they have written about.",103,50,https://www.youtube.com/watch?v=THJysHMi81c
1,              @nitinbhakta4787            ,"It is important to be aware that while ChatGPT can provide information, it should not be considered a definitive source and any information it provides should be fact-checked. This is demonstrated by an example where a query about a specific film was provided, but the information returned pertained to a different film with the same title. This mistake occurred  even though there were different plots, characters, actors/actresses and release dates between the two films. Furthermore, it can be inferred that the model does not have knowledge about the specific film queried and that its source of knowledge might be limited to Wikipedia.",57,23,https://www.youtube.com/watch?v=THJysHMi81c
2,              @StupidSexyFlanders_            ,"I’ve used it to write a movie script. While it doesn’t fully write one for you, it does give you the foundation of writing one. You can even command it to modify certain responses based on that modification request, and then polish the story from there. It’s incredible technology, but it’s still without limitations. It’s scary and exciting at the same time.",33,8,https://www.youtube.com/watch?v=THJysHMi81c
3,              @Learningnewsnetwork            ,"ChatGPT was launched on November 30, 2022. You were required to add your name to a wait list to try it out in Beta. This would have been around the time leading to the end of the semester and holidays. Reopening of schools in January 2023 ( a 4 weeks window), schools were already making accusations of cheating and plagiarism with ChatGP. I would like to know which students and what exams where the students able to get on ChatGPT's waiting list, and were able to write, hand in or submit their exams and have this exam checked for AI plagiarism? I would like someone to explain that to me.",15,2,https://www.youtube.com/watch?v=THJysHMi81c
4,              @MrErick1160            ,"chatgpt needs a lot of improvement to its user experience. It will really be useful when it can cite the sources that support every statement he says, a bit like a google engine, it would spit out the text and then add all the links/sources that can support his answer. It also needs to be deeply integrated into operating systems (android, ios, windows etc) with a search bar, a  bit like the google search bar. It also lacks very important functionalities such as searching within all your prompts.",15,3,https://www.youtube.com/watch?v=THJysHMi81c
5,              @ParadineG            ,"ChatGPT has become almost irreplaceable tool for professionals as they can spot its mistakes. For general public it is also useful tool, but they must understand that it can make mistakes. Therefore one must be careful when touching subjects that are outside of their expertise.",6,3,https://www.youtube.com/watch?v=THJysHMi81c
6,              @scarecrow2275            ,"After using ChatGPT, I'd say it's like talking to an 8 year old child who just found the internet, give it a couple years of learning and more than 75% of office jobs could be replaced by this software alone, a decade from now and it'll be what's teaching university courses. You'll own nothing and be happy!",38,23,https://www.youtube.com/watch?v=THJysHMi81c
7,              @labibbidabibbadum206            ,"So, Chat GPT says:
""AI has the potential to revolutionize many industries, but we must also be aware of the potential dangers it poses. From job displacement to ethical concerns, it's important that we approach the development and implementation of AI with caution and proper regulation.""",18,9,https://www.youtube.com/watch?v=THJysHMi81c
8,              @seanmahoney2671            ,"I feel like teachers are doing their students a disservice if they don't teach their students to use this tool to be better at writing reports and doing research. Teach them how to use it not to cheat but how to use it to make the end result better.

Using this is like having a knowledgeable assistant to work with on what you are doing. You can't take it all at face value and don't need to do more with it, instead using to help along the way is amazing. 

I am using this all the time, at work, at home, for my volunteer work. It has felt like having a partner in everything I do. I love this technology! Just like every other tool that has come before though, it won't do all the work for me, it just makes it more efficient so that I can do more work faster... that will also become the expectation from businesses, so not learning the tool and falling behind is likely to hurt people's success (another reason it should be taught to students and not just fought against).",11,5,https://www.youtube.com/watch?v=THJysHMi81c
9,              @EmaManfred            ,These AI tools being available openly over the internet is indeed a cause of concern. Bluewillow for example is on the internet can be easily accessed on Discord but this is mostly used to create content and new business in the art industry. As with the rise of new technology comes the responsibility and regulations. Progression inevitable but hoping for a controlled one.,0,0,https://www.youtube.com/watch?v=THJysHMi81c
10,              @russellthorburn9297            ,"ChatGPT is amazing but I've run across simple cases where it's wrong due to contradiction even with simple high school level physics questions. 
Example:
Prompt ""A ball falls from a height of 5 meters. Ignoring wind resistance, is the potential energy before it starts falling equal to the kinetic energy when it hits the ground.""

Reponse: ""No, the potential energy before it starts falling is not equal to the kinetic energy when it hits the ground. Potential energy is converted to kinetic energy as the ball falls. The formula for potential energy is mgh (mass x gravitational acceleration x height), while the formula for kinetic energy is 1/2mv^2 (mass x velocity squared). The potential energy will be equal to kinetic energy only when it reach the ground and come to rest.""

The response contradicts itself.
""No, the potential energy before it starts falling is not equal to the kinetic energy when it hits the ground""
""The potential energy will be equal to kinetic energy only when it reach the ground and come to rest""

Also, it makes no sense to talk about kinetic energy when something is ""at rest"". When something is ""at rest"" it has no kinetic energy.  I would grade the answer as 5 out of 10 were I to get this answer from a student.

Additionally, notice the strange grammar error ( ""......only when it reach the ground and come to rest"").

When questioned about the validity of it's response, however, it did correct itself with the following:
""You are correct, my previous statement was incorrect. I apologize for the confusion. The total mechanical energy of the system, which is the sum of the potential energy and kinetic energy, is conserved as the ball falls. The potential energy is converted to kinetic energy as the ball falls. At the moment the ball is dropped, the potential energy is at its maximum and the kinetic energy is zero, while at the moment it hits the ground the potential energy is zero, and the kinetic energy is at its maximum. The total energy before and after the fall is the same.""",2,0,https://www.youtube.com/watch?v=THJysHMi81c
11,              @Dainja            ,"If it's a tool that can make my life easier and more streamlined, then I'm all for it. So far, it appears that chatgpt will do just that. ",1,0,https://www.youtube.com/watch?v=THJysHMi81c
12,              @jessieguess9008            ,"I tried chatgpt, it was fun! I don't have any fears now, after using it for a few days, because it spat out writing yeah, but it was all very cliche. What surprised me most is that while using it my creativity came out in a torrent. Why artists are catastrophizing about this tech, I will never know, this is going to be a tool that aids human creativity, instead of the thing that replaces it. One more step toward a cyborg existence! The future is going to be wild!",2,2,https://www.youtube.com/watch?v=THJysHMi81c
