Username,Date,Post,Post sentiment,Post subjectivity,Comments,Reactions,Reposts
Paulo Gomes,15-03-2023,"Top AI Tools & The Future of Marketing : Tragedy Vs TriumphToday we are going to talk about artificial intelligence and how it can help you in your marketing efforts.Artificial intelligence has become incredibly important in the field of marketing. The massive applications of big data in the field of marketing is one of the reasons that the market for AI technology is growing at a rate of 39% a year. Did you know that?It's not just about being able to recognize patterns and make decisions based on them—the technology is also able to create new value for you through automation and optimization.Check my video for more and feel free to reach out: )👉🏽 Tragedy Vs Triumph - > AI & the Future of Marketinghttps://bit.ly/3yFlOHTTragedy:So, what's the challenge, looking at the future of marketing…how to compete, and how to leverage it, how not be replaced? I’ll give you some examples of Tools that don’t need us :)AdCreative.ai- AdCreative helps marketers create better ads by using machine learning and natural language processing, so they can focus on creating great content instead of wasting time on creating ads from scratch.Jarvis.ai- uses AI-powered chatbots to help businesses increase sales by up to 25%. It also offers tools for personal assistants like Alexa and Google Home; these assistants can use voice commands to order products or services directly from their existing apps (for example).Triumph:Are you ready to make more money, ride the wave of AI, work in a more effective way and have more time for yourself? Take a look at the solutions below, all of those can be used with or without Salesforce1. CognismCognism is a powerful tool that can be used to create an automated, AI-driven sales funnel that is personalized to each prospect. This AI-driven sales funnel will help you grow your business, and it will do so by using all the information about your prospects to deliver them the most relevant content at the right moment.2.Copy.aiCopy.aicreates personalized sales copy for you based on your website's visitors' behavior, interests and more. It's simple to use and automates the whole process of writing high-converting landing pages, emails, blog posts and more in minutes!3. Exceed AIExceed AI is an artificial intelligence-powered platform that helps you manage your digital marketing campaigns with ease by providing actionable insights into your marketing efforts, as well as best practices for improving them over time through machine learning algorithms that are constantly being updated to improve results over time!4. Tableau AIThe Fourth tool is Tableau, which allows you to visualize and explore data in a whole new way—so you can make better decisions faster.Happy Wednesday and feel free to share your thoughts on the comments below! 👇🏽#AI#Marketing#CRM#futureofwork",0.9975,0.5258204973321252,0,1,0
Eugene Gan,14-03-2023,"Tools maketh the person, or the person maketh the tools?ChatGPT and us.Let's first know the tools1. What is ChatGPT?Basically, it's built upon a language model AI called GPT-3. In simple terms, GPT-3 calculates the probability of the next word that makes sense, and strings them together to form sentences. The folks inopen.aifed GPT-3 with everything we know up to year 2021, using supervised and reinforced learning techniques. Although the core function of ChatGPT is to mimic human conversations, it's versatile enough to perform other functions from all that it learnt. It's also constantly learning from its interaction with human feedback.2. Some misconceptions.ChatGPT is omniscient.Even if we fed it all of what we know, including the library of Alexandria up to this very second, it won't know everything. Because we don't know everything. 'Nuff said.Well, at least it'll tell me what other people know, right?No. As it is fundamentally built as a language tool, it can SOMETIMES form very convincing and plausible sounding sentences regardless of how nonsensical it can be. This common problem is called Artificial Intelligence Hallucinations. It needs time to learn over time, through upvotes or downvotes plus some additional feedback from humans.Does that mean that ChatGPT will one day at least get the ""truth"" right? This is arguably the hardest thing even for us humans to do, even until today. Growing up, we subconsciously rank the quality of ""truth"" by how reliable the source of the information is. We ranked our teachers as reliable, and a stranger (for example) as unreliable. Let's break this down mathematically. If we think our teacher is 5x more reliable than a stranger, it'll take 6 strangers to make us doubt our teacher. Sounds reasonable? Amid all the different voices online, it can sometimes be challenging for us to differentiate the ""truths"" from the bent ones.3. Some current limitations.Bewear of typos.ChatGPT isn't too tolerant with typos. If you didn't even notice the typo at the beginning of this paragraph, it's because us humans are a lot more adaptable and tolerant to mistakes. We are capable of ""autocorrecting"" in real time, and with context. Computer systems are very literal. It assumes you are literal about what you're asking it. Garbage in, garbage out. Literally as simple as that.4. Use cases and potentials.Having said that, there are many uses for ChatGPT or other AI systems that I am very excited about. Ask it to find erroneous lines of software codes, it'll do well. It isn't ambiguous and relative to the person asking. From debugging software to writing essays, I think you've read enough great examples of AI's capabilities and accomplishments.I'm keeping a very keen eye on its development, and I think I might have identified a few industries and use cases for it. I'll be experimenting with my circle of friends and post our progress here.Stay tuned.#ai#chatgpt#artificialintelligence#development",0.9414,0.443576388888889,12 ,19,8 
Branko Karlezi,15-03-2023,"OggiGuida Viaggici spiega perché la più grande compagnia aerea nazionale brasiliana,GOL Linhas Aéreas, ha introdotto l'intelligenza artificiale diSabre Corporationnelle sue operazioni# # #Today Guida Viaggi explains why Brazil's largest domestic airline, GOL Linhas Aéreas, has introduced Sabre Corporation's artificial intelligence into its operations# # #Hoy Guida Viaggi nos explica por qué la mayor aerolínea nacional de Brasil, GOL Linhas Aéreas, ha introducido la inteligencia artificial de Sabre Corporation en sus operaciones# # #Aujourd'hui, Guida Viaggi explique pourquoi la plus grande compagnie aérienne brésilienne, GOL Linhas Aéreas, a introduit l'intelligence artificielle de Sabre Corporation dans ses opérations#Sabre#TogetherWeMakeTravelHappen#viaggi#artificialintelligence#inteligenciaartificial#intelligenceartificielle#brazil#intelligenzaartificiale#airlineSalman S.Antonella VecchioAndreas SyrigosPaola De FilippoAlvaro De Simon NihantCaroline HarauchampsPantelis KonstantarasJessica MatthiasPeter MelcherKseniya Evseeva, MBARichard AddeyDavid PrietoAlexander HellwigAxel Arumi AndujarJuan Fernando JimenezMaria Eugenia SchiavonAlessandra MagniDenise CanelasKoula (Kyriaki) KyriacouKymbouropoulou MaryAgeliki Ghikamagali colleuNunzia BenedettiMarta Deloutre KolodziejMarie ChallierLuigi De AngelisGiulia SanguinetiLoredana OnestiDaniele AlvetiSimon Alberto PieraMarco PisapiaAntonella Di ClementeLAURA SILVIA GUARINIFrancesco VendrameSalvatore Edoardo jr Mertoli",0.7845,0.7000000000000001,0,2,0
Gesie Oliscat,15-03-2023,"Scaling the Leadership Ladder in Contemporary TimesCurrently, many organizations face more complex and competitive environments than ever, affecting the competencies of leaders who can thrive in the modern-day business world. Besides, the leaders focus on profits and emphasize the importance of culture and innovation. In attaining the best, the trends in excellent management and leadership shape the areas of leadership focus in 2023; Dennis (2023) and Harris (2023) provide a crucial list of trends to look for in 2023.The nurturers, high cultural intelligence, walk the walk, and visionary storytellers. More trends are leaders focusing on building better teams, innovators, soft skills development, clear succession plan, and those who support vital causes automatically. Accordingly, 2023 is witnessing leaders focusing more on flattening organizational structures, striving for gender balance, adopting a blended approach to leadership and management development, remote and flexible working, emphasizing the need for outside consultants, and increasing the use of artificial intelligence.ReferencesDennis Thom. (2023). 10 Leadership Trends You Are Likely to See in 2023.https://lnkd.in/eEMDexS2Harris Alexander. (2023). 10 Leadership and Management Trends to Employ in 2023.https://lnkd.in/e8xjHDud",0.9885,0.4942105263157894,0,0,0
ESSEC Metalab,15-03-2023,"👥 |#AIWORKINGGROUP-AmCham FrancexESSEC Business SchoolYesterday afternoon,AmCham FranceandESSEC Metalabpresented their White Paper ""Getting companies on board with responsible Artificial Intelligence"", or how to encourage and accompany companies, especially SMEs, in the adoption of an effective and responsible AI?Eglé de Richemont, Managing Director of AmCham France andVincenzo Esposito Vinzi, ESSEC Dean & President and member of the Board of AmCham France, introduced the event by reminding us  of the importance of collaboration between the public, economic and academic spheres in order to meet the challenges of digitalization of companies, particularly in terms of AI.""We know today that the vast majority of companies will not be able to do without AI if they want to remain successful and competitive [...] The massive adoption of AI by companies is therefore a vital issue of national and more broadly European competitiveness that we must all seize."" (Eglé de Richemont).""At ESSEC, we want to massify AI skills, train leaders in the fundamentals of AI and the ethical and social issues that accompany it, so that AI becomes an accessible technology that can be used by everyone."" (Vincenzo Esposito-Vinzi).To read the White Paper please check the links below 👇Bijan Eghbal,Benoit Bergeret (Ben),Julien MALAURENT,Guillaume ChevillonGuillaume Avrin,Renaud Vedel,Hugo Lévy-HeidmannMinistère de l’Économie, des Finances et de la Souveraineté industrielle et numérique,Etienne FULCHIRON,Alexandre MONTAY,Florence Naillat,Jean-Marc CORDE,Charlotte Tison Pierron-Perlès,Lea Deleris,Fabien CROS,Jeanne Dauzier,Laurent-Pierre Baculard,Aude Prebay,Jean-François Sebastian,Emmanuel Pernot-Leplay,Walid Farhat,Serge Palaric,Zahira Naulais Benabdallah#ai#business#aiadoption",0.9769,0.4769841269841269,1 ,7,0
Paulo Gomes,15-03-2023,"Top AI Tools & The Future of Marketing : Tragedy Vs TriumphToday we are going to talk about artificial intelligence and how it can help you in your marketing efforts.Artificial intelligence has become incredibly important in the field of marketing. The massive applications of big data in the field of marketing is one of the reasons that the market for AI technology is growing at a rate of 39% a year. Did you know that?It's not just about being able to recognize patterns and make decisions based on them—the technology is also able to create new value for you through automation and optimization.Check my video for more and feel free to reach out: )👉🏽 Tragedy Vs Triumph - > AI & the Future of Marketinghttps://bit.ly/3yFlOHTTragedy:So, what's the challenge, looking at the future of marketing…how to compete, and how to leverage it, how not be replaced? I’ll give you some examples of Tools that don’t need us :)AdCreative.ai- AdCreative helps marketers create better ads by using machine learning and natural language processing, so they can focus on creating great content instead of wasting time on creating ads from scratch.Jarvis.ai- uses AI-powered chatbots to help businesses increase sales by up to 25%. It also offers tools for personal assistants like Alexa and Google Home; these assistants can use voice commands to order products or services directly from their existing apps (for example).Triumph:Are you ready to make more money, ride the wave of AI, work in a more effective way and have more time for yourself? Take a look at the solutions below, all of those can be used with or without Salesforce1. CognismCognism is a powerful tool that can be used to create an automated, AI-driven sales funnel that is personalized to each prospect. This AI-driven sales funnel will help you grow your business, and it will do so by using all the information about your prospects to deliver them the most relevant content at the right moment.2.Copy.aiCopy.aicreates personalized sales copy for you based on your website's visitors' behavior, interests and more. It's simple to use and automates the whole process of writing high-converting landing pages, emails, blog posts and more in minutes!3. Exceed AIExceed AI is an artificial intelligence-powered platform that helps you manage your digital marketing campaigns with ease by providing actionable insights into your marketing efforts, as well as best practices for improving them over time through machine learning algorithms that are constantly being updated to improve results over time!4. Tableau AIThe Fourth tool is Tableau, which allows you to visualize and explore data in a whole new way—so you can make better decisions faster.Happy Wednesday and feel free to share your thoughts on the comments below! 👇🏽#AI#Marketing#CRM#futureofwork",0.9975,0.5258204973321252,0,2,0
Paula T.,15-03-2023,"...""Quando a vontade de saltar é grande e tens o caminho de volta ""normalizado, castrado"" e com o qual não te identificas dás por ti na dúvida, podes falhar sempre desde que tenhas a consciência disso pois é mais um passo em frente para uma nova conquista uma nova etapa uma nova perspectiva um caminho novo, por isso falhar não é mau é sinal de que tentámos muitas e muitas vezes e não haverão ""ses; mas; porquês"" e sim EU FIZ(pode até não dar certo atenção o que para mim deu/dá não se adapta a toda a gente) o facto de nos permitirmos experimentar, desafiar, tentar, é bem melhor do não fazer de todo e vivermos na dúvida de como seria e não como será, fará de ti uma pessoa menos feliz contigo mesma.Em criança alguém disse-me que falhar é para os fracos, hoje percebo a ignorância de tal afirmação, pois não sabia do que falava e não o culpo pois não conhecia outra realidade senão aquela.""...Por isso falhem as vezes que for necessário, para poder dizer mais tarde que tentaram de ""tudo"" e não se arrepender do que poderiam ter feito e aí talvez ser tarde demais, não é tarde demais para evoluir, crescer, conhecer, aprender, partilhar, ser uma melhor versão de si mesmo!Boa semana! 🍃🙏🌄@alexandra_triaes 📸",0.0,0.0,0,0,0
Irena Radokanović,15-03-2023,"My key takeaways foreTail™in Berlin so far:- Customer journeys: how to be relevant, how to optimize & automatize, how to use MarTech stack, playout channels- AI use cases, focus on content creation and AI- ""The value of data is when you cross the silos"",How to enable every function in an organization to use the data and create a common data platform, data lake, how to democratize the usage of data, analytics, ML in business, we heard insightful Case Study fromDr. Alexander BorekfromZalando",0.8316,0.6799999999999999,0,1,0
Matthew George,15-03-2023,"Found this a particularly compelling observation about how fast things are moving in this space -- ""ChatGPT, which uses A.I. to guess what word comes next, is rapidly improving. A few months ago, it couldn’t write a proper haiku; now it can do so with gusto."" How Siri, Alexa and Google Assistant Lost the A.I. Race",0.4005,0.28,0,0,0
Alexandra Ilie,15-03-2023,"Ce nu știi despre mine?Am lucrat ca și registrator medical și ca și coordonator de call center într-o clinică medicală privată /spital privat, timp de aproape 5 ani.Am avut o echipă de 26 de femei frumoase și deștepte în subordine, care m-au ajutat să mă dezvolt mult. M-au scos din zona mea de confort de nenumărate ori.Am avut colegi, medici, extrem de umani și de dedicați în ceea ce fac 🙏🙏🙏, pe care îi apreciez enorm, dar și colegi care și-au uitat motivația pentru care au început să lucreze în vindecarea și ajutarea oamenilor.În urma acestei experiențe, am știut clar cu ce fel de energie vreau să lucrez mai departe și ce anume nu mai doresc, dar și de ce și cum vreau să ajut oamenii mai departe. Prefer să lucrez cu femeile, mai ales de când sunt mămică, pentru că rezonez mult cu energia feminină, cu multitaskingul, cu multitudinea de responsabilități, de griji și printre picături cu îngrijirea lor personală, care ar fi trebuit să fie o prioritate pentru ele, pentru a putea fi cea mai bună versiune a lor în raport cu ceilalți.Cred că medicina alternativă nu poate să o excludă pe cea tradițională și invers, există un echilibru în cele două și se susțin reciproc, așa cum inima nu poate exclude mintea și invers.În urma experienței mele, cred tot mai mult că oamenii au nevoie să-și identifice pasiunile și să se ocupe de ceea ce sunt pasionați cu adevărat, ca să facă o treabă minunată, așa nu simt oboseală, sunt consecvenți, disciplinați și asumați în ceea ce fac.Putem face multe lucruri bine, dar putem excela doar în acele lucruri care sunt în aliniament cu inima, sufletul și mintea noastră.Tu ce părere ai?#traiestefrumos#alexandrailie#pasiune#selfcare#hairstylist",0.9563,0.05,0,0,0
