Username,Comment,Comment sentiment,Comment subjectivity,Date,Likes,Replies,Link
              bedwenmoon            ,"What's interesting is that AI is gaining it's information from the most 'boxed in' members of society.  Those who use 'Alexa' are likely totally 'plugged in' to the matrix.  Those who are free thinking, know that love is the meaning of life, who are aware we are spiritual beings not just commodities are likely contributing less to AI by choosing to not part of the consensus reality.  We are infinitely powerful if we only remember who we are.  Beyond the ego that ties us to the matrix, we have access to the whole universe.  The problem is, as humans many have forgotten who we really are.  Many are choosing to enter a deeper realm of Amnesia, governed by AI..  They will forget, and be happy.  We do have a choice.  Choose Nature, choose your heart.  Choose what is real.",0.9325,0.5833333333333334,None,103,18,https://www.youtube.com/watch?v=b2bdGEqPmCI
              Plucky Pluckster            ,if you have alexa- clearly u don't give a shit about security- but i'd still suggest throwing it away!,0.5864,0.5916666666666667,17-01-2023,0,0,https://www.youtube.com/watch?v=b2bdGEqPmCI
              rwheellife            ,Nobody needs an electric butler in their life. We already have Alexa!,0.0,0.0,17-02-2023,3,0,https://www.youtube.com/watch?v=-cxoGm_Okmo
,"Thanks to our growing list of Patreon Sponsors and Channel Members for supporting the channel. https://www.patreon.com/PatrickBoyleOnFinance : Paul Rohrbaugh, Marc De Mesel, Nate Stapleton,Timothy Baird, WIlam, Hernan Merino, Random Encounter, Nieuwsbrief Ikwil, Bee Positive Consulting, hyunjung Kim, John Cadena, Ian Tracey, Callum McLean, Oscar, Simon Pena, Ed, Pavle Obradovic, Erik Van Ekelenburg, David O'Connor, Pjotr Bekkering, Alex, Robert W Proudfoot, Robert Muller, Andre Michel, Ivan Iliev, Gopaljee Atulya, Mark Hooker, Artem Vasenin, P H, Sebastian, Michal Lacko, Peter Bočan, Michael Pierce, V Jordan, Gil, HalfwitHam, Mark Brophy, David Urdenata, Juan Valdez, Bruce Roberts, Chad Norman, Bruce Roberts, Shamikh Rana, Friday Guy, Marc De Mesel, Augusto Ramos, Soy Boomer Doomer, Bob Slartabartfast, Robert Feiler, Camil Dbouk, Erik Montesinos, Matthew Loos, Az Indragiri, Aman Bali, Lautaro Parada, Pratap, Deborah Joseph, Robin Sung, Kurt Johnston, Dominik Auerbach, Gurmeet Kaushal, John Hall, Dara Mo, Josef Goergen, Wilbert Cheng, Jaroslav Tupý, Trevor Lucey JB Weld, Alex, Carlos Figuera, Peter Pomelov, Null065, Rick Thor, MeBerzerk, Henry Nguyen, Sola F, The Collier, Carlos Mejia, J Wadia, Bitcoin OG, easy boekhouding, Albert, Eugene Jung, Daniel Cervini, Jonathon Yong, Iris Ji, Emil Nicolaie Perhinschi, Charles, Eli Auto, Excks, Michael Li, Par Hedman, Praveen Mishra, Gerard Scott, joel köykkä, Areeb Ahmed, David Wang, Yazan Qaraqish, Rodolfo Cornetti, Daniel Winroth, johnny, Nick Jerrat, Chris Houston, Alastair Currie, Robert Griffin, Andrei, zizi Golo, Fab Vida, Constantin Petrenco, pawel irisik, NotAScam, James Halliday, 22 Dust, Carsten Baukrowitz, Heinrich, Arron T, Ben Brown, Stephen Mortimer (to The Moon), Ryan B. Hicks, Liam, Logan Vrankovic, William Heaton, Paul McCourt, Daniel, Aaryan Koura, Steven, Christopher Boersma, Ulf Lundblad, Dorothy Watson, Greg Blake, Simon Bone, Livermores Quant, The Collier Report, Scott Gardner, The Man Koala, Brian McCullough, Daniel S. Smith, Finance Student, Julie, Mohammad Rehman, James Wallace, Daniel Poellmann, Edosa Odigie, Dixon Yuen, Marek Novák, Stamatis Drepaniotis Michael Smith, Ahmed Hamadto, Chris Davey, Mike Farmwald, Michael A. Mayo, Lachezar Georgiev, Kamet Batra, Bradley Johnson, Sagar Gudi, Michael Chessar, Kate ATL, Tong Cheung, Lady Dje, James Barnes, Chris Hall, Kurt Johnston, ICBM Catcher Juan Valdes, Linn Engström, Veltsh, Konrad P-kala, Pastacat, Adam Vorting, Matthew McQuade, Christopher Lesner, freebird, Kenneth WedMore Lund, erfective, Jason Young, Jonathan Kopnick, Peter Hendrickson, steel, Bastien, Tom Willett, Chris Whitehead, Anil Jason, JOJO, AS7, Greg Thatcher, Ezekiel Templin, MrLuigi1138, Leszek Frankowski, Nam Nguyen, Karim THIBAULT, C, David R. Ingemi, Robert Wave, Dmitri Alexeev, Aaron Rose, Ethan Hernandez, Claude Chevroulet, Stephan Marosvary, Louis Julien, Jan Lukas Kiermeyer, Gearoid O Connor, Fredrick Saupe, Subliminal Transformation, Alex McMahon, Adi, Ben, Kurt Mueller, Janusz Wieczorek, Federico Viscomi, Corgi, Mahdi, Burgerinn, Quinn Cone, QiKaiQian, Stephen, Joshua Rosenthal, Frank Yashar, Michael Smith, Emilian Marius Tudor, Julian Aßmann, Cormac, Ian Shearer, Michael Kopřiva, Tinni, Goran Milivojevic, Joe Del Vicario, Alexandre Mah, ultima9, Norman A. Letterman, maRiano polidoRi, Stephan Prinz, Gary Yrag, Mattia Midali, Matthew Berry, Ann Williams, Jay T, Gabor, Florian Haas, Shivendra Saklani, Zachary Tu, Jeffrey, Lane Alan Deyoe, Chett Flynn Jonathan Horn, Mo Herbert, Lane Andrews, Justin Thuet, Olaf Thiele, Ivan Ilaev, Todd Gross, Douglas Caldwell, Wade Hobbs, Volodymyr Palii, James Hoctor, Gavotti SGP, Ryne Davis, Jean-Philippe Lemoussu, Keanu Thierolf, Muhammad, Michael Chow, Stefan Alexander, Miroslav Ognyanov, Scott Guthery, Vanya Davidenko, Arto Karhu, James Bache, Jason Harner, Dale Patch, Stefan Penner, Mischa Trunz, Arvid, Eric, Jonathan Metter, Junhong Low, John Way, Maria Baker, Luke Solomon, Sharath Vulupala, Keith Elkin, Chris Nicholl, Luis Carmona, Vinci Chan, Olivier, Yasha, James Yoh, Eduardo Martinez, Adi Blue, Swain Gant, georgejr, hyeora, old gambling art bag, Boussaken, Lukas Braszus, Vik, Chris Albertson, Sprite_tm, matt f, Douglas Caldwell, Adgn, Ronald London, Chris Rock, Tuan Nguyen Minh, Daniel Baak, Jeremy King, Julien Debache, M1, Dougald Middleton, Tom, Diarmuid Kelly, Subodh Kafle, Gregory Mahoney, Angelo Rauseo, Kirsten Banuelos, Ryne Davis, Era, Anne Molphy, Ekaterina Lukyanets, Alfred, sugarfrosted, Okkie, Larry, Sarah, miilo, EatEmAll, Alexandre GUYAMIER-CROISSANT, Alex C, Henk S, Noel Kurth, John Tran, Daniel Soderberg, Daniel Ralea, Steve Crotti, Shaun Deanesh, DaFlesh,Nathan McIntosh, Dominique Buri, B P, Manmeet Sheera, Stephen Walker, Richard Stagg, Bo Grünberger, Justin Sublette, Zackk, R, Omega Universas, Paul Twilley, 인기 김, Dennis Arthur Rose, Louis Görtz, Arjun K.S, josef strand, Simon Crosby, Alex Do, Minnah seoh, Ljube Boskovski, Bertrand Barroux, Jacob Snedaker, Edgar De Sola, Izidor Vetrih, WhiskeyTuesday, Vic Tan, Compuart, Felix Goroncy, Nick Top, Anita Mui, C.J. Christie, lazypikachu23, Olivia Ney, Steven, Jordan Millar, Reagan Glazier, Viki Rebic, Adrian, Adam Kobus, KoolJBlack, Deborah R. Moore, Alonso Ibarra, sam, Dru Hill, Dean Maurer, Tim Jamison, gavin, Ultramagic, HEWHOSHALLNOTBENAMED, Nigel Knight, Daniel Winroth, Paul Niekamp, Job Zamora, Zhnjy, Brian K. Lee, Tony Bianucci, storm, scott johnson, joevan burke, Suzy Maclay, Just Plain Old Boring Mike, Fernando Garcia, Agatha DeStories, Chris Peterson, Nesh Hassan, Molly Carr, Christan, Michael Jones, Ross P, Conor Rainey, Milos Krljanovic, Laura Sanborn, Richard Hagen, Nicholas Muller, Adam Stickney, Peter Weiden, Mate Visky, RVM, Brainless, Marcio Andreazzi, Anand Norman, Yih Pin, Ziad Azam, petros ventouris, Justin Zander, Jonathan, STEPHEN INGRAM, Panks, Michael Wilson, Peter Luu, Gregory Lethbridge, Daan Jetten, Ivan Katanic, Benjamin, Boris Azais, Flanneryo, EricO, DoubleWhy, Paul Hilscher, dz, Manuel Barkhau, Gaurav Batta, Earnest Williams, Harun Akyürek, Dionysis Partsinevelos, toufik ouriachi, Maximiliano Rios, Claire Walsh, AT, Atanas Atanasov, William J. Murphy, Tom Eccles, Matthew Lang, Matthew Wehttam, Fernanda Alario, nishil, Alfred Tagher, Ulf Lundblad, Weijie Diao, Dave Jones, Matthew Colter, Alan Medina, Georgios Kontogiannis, M, Kirandeep Kaur, Charles, Jacob Wachala, William Ching, Omer Secer, Clement Schoepfer, Tarek Rabbani, Sofia Tuff, Christopher Brennan, A M, Ivo Stoicov,  and Yoshinao Kumagai",0.9274,0.4553706709956709,06-03-2023,8,1,https://www.youtube.com/watch?v=_iMItrc0ChU
              Seema Ramji            ,"A- Sophia the robot has a Saudi Arabian citizenship
B- Japanese robot kengoro has a skeletal system
C- Siri and Alexa understand their owners emotions 
D- IS THE ANSWER",0.0,0.0,17-03-2021,14,0,https://www.youtube.com/watch?v=ad79nYk2keg
              Nitish kumar            ,I want to make my own AI like alexa. What should i have to learn for it.,0.4215,1.0,17-03-2020,5,0,https://www.youtube.com/watch?v=ad79nYk2keg
              JohnnyDapper1984            ,Reminds me of the Alexa/meta hype.,0.0,0.0,17-02-2023,0,0,https://www.youtube.com/watch?v=mUkTz_1uzSs
              John Williams            ,"Why don't you ask someone who knows, instead of someone with an opinion? It's not just so called ""virtualization"" that brings out behavior resembling psychopathy, it's when you have no visual contact with the person you are affecting, or that person belongs to another tribe. And now you're bringing up Judeo Christian tradition, completely ignoring the ENLIGHTENMENT which rejected religious dogma entirely. The enlightenment is why we have science, not so called ""alchemy"". Morality is based on COMMON SENSE. Literally, what we all sense in common, including emotions. We have a semi objective measure of emotional state because of our facial expressions and our empathy. Society is impossible without morality, and we've had society far longer than we've had religion. What is the root cause of the correlation of the morals of all cultures?

Ever think that widespread unfettered free speech enabling psychological warfare through disinformation is something we ought to concern ourselves with? No, I suppose you think absolute freedom of speech will simply take care of itself, like there is enough intelligent people to correct all the idiots on twitter and facebook. And if you are proselytizing Judeo Christian tradition, free speech has never been a part of that culture. You need to thank the enlightenment. The right wing traditionalists are using free speech to destroy the enlightenment because they think they can. Alexander Dugin and Steve Bannon both agree that society should drive out non conformists.

Seriously, you know next to nothing about AI, and you really don't understand history, especially the history of violent suppression of nonconformity in the Judeo Christian tradition. You also don't recognize the inherent danger in letting unfettered free speech be used to tear apart society through massive disinformation. 

People follow you, but my advice is to never follow individuals, only follow reason. Another lesson from the enlightenment. Watch some Stephen Pinker and despair.",0.3057,0.5207431457431457,17-02-2023,0,4,https://www.youtube.com/watch?v=k0lOL5Q58Ls
              Anjana Kumari            ,Alexa bhi artificile intengillence,0.0,0.0,17-03-2022,0,0,https://www.youtube.com/watch?v=iyb38dzetRk
              Shakeia Thomas            ,"Everyone fears a dystopian world yet we are already there, we rely on technology, we need the internet for everything even schools are turning to ipads and Chromebooks over old fashioned books,  I personally think an A.I would be a better leader then Biden or anyone else for that matter. 

Who doesn't have an Alexa? Who doesn't use Siri? Artificial technology is everywhere in our cars, homes, community etc 

Seriously extraordinary content keep up the good work",0.4137,0.6,None,10,3,https://www.youtube.com/watch?v=-ZeeuDrknYc
