Username,Date,Post,Post sentiment,Post subjectivity,Comments,Reactions,Reposts
Javier M Floren,15-03-2023,"AI is not knly for images and marketing copies and play with chatGPT.Hats off to the team eso implemented this tech in this case. It saves lives.CNN's Poppy Harlow speaks with Dr. Larry Norton, the medical director of the Lauder Breast Center at the Memorial Sloan Kettering Cancer Center, about the use of artificial intelligence in breast cancer detection.#ai#artificialintelligence",-0.6486,0.3,5 ,70,5 
Francisco Gil Amorós,15-03-2023,👋 ¡Hola a todos!Me complace compartir con ustedes una herramienta que he creado para ayudar a identificar productos y versiones afectadas por vulnerabilidades conocidas. 🐛He utilizado Python y la biblioteca de inteligencia artificial OpenAI (ChatGPT) para crear un script que busca y genera una lista de productos y versiones afectadas. 🤖El código fuente y la documentación están disponibles en mi repositorio de GitHub en el siguiente enlace:🔗https://lnkd.in/dW5xtdYKSi trabajas en seguridad informática te animo a probar este pequeño ejemplo y compartir tus comentarios.¡Gracias por su atención y espero que les sea útil! 🔥----------English (DeepL)👋 Hello everyone!I'm pleased to share with you a tool I created to help identify products and versions affected by known vulnerabilities. 🐛I have used Python and the OpenAI artificial intelligence library (ChatGPT) to create a script that searches and generates a list of affected products and versions. 🤖The source code and documentation are available in my GitHub repository at the following link:🔗https://lnkd.in/dW5xtdYKIf you work in IT security I encourage you to try this small example and share your feedback.Thanks for your attention and I hope you find it useful! 🔥#python#github#ai#chatgpt#cve#security,0.9752,0.5571428571428572,5 ,22,2 
Stevens Diaz,15-03-2023,"One day with my partnerVanessa Ch. Daza, we askedChatGPT AIwhat a crypto e-commerce would be like with artificial intelligence and#Blockchain, we told him the colors that we are going to use, the name and the characteristics that it would have.It has been one of the most impressive things I have seen in my life, it described everything that Vanessa and I have dreamed and planned for years, then we went toMidjourney, I must thank the#CEOofjolders, Luis because he introduced me this powerful tool, anyway, we told him the characteristics that this e-commerce platform will have and ""he"" or whatever that thing is, introduced us to the e-commerce that all of us on planet earth and mars... are going to use this century.It blew our minds, the colors, the features, the design was as if some Greek God of ""design"" had created it. I make this post for the record that#AIinfluenced the creation of the largest e-commerce of the 21st century. I love you all!long live to#IKINGthatio",0.974,0.575,1 ,14,0
Marisa Huaynalaya Peralta,14-03-2023,"Did you freak out trying out#ChatGPT?Are you experiencing goosebumps imagining what this means for your work and career?Do you wish to share questions you make to yourself or your experience using it?After more than 3 years involved in the development and use of chatbots inapsl.tech, working with Information Architecture and Artificial Intelligence experts and designing conversational experiences, ChatGPT arrival in november 2022 was like a dream coming true...IMHO the#llm(Large Language Models) are not just a hype as some people would like to think but the confirmation that#chatbotstechnology reached enough maturity not to be ignored.  So, after the launch of ChatGPT 4, why don’t we put a date in our calendars to wonder and discuss face to face?Don’t miss out the chance to get introduced to ChatGPT and discover some of its possibilities next Thursday 23 at theAvoristechauditorium in Palma.We start sharp at 19:00 with an Intro to Julia programming language byCharles Novaes de Santana, PhD. and continue at 20:00 with our open dialogue + live demo ofMagnoliaCMS integration with ChatGPT thanks toJoaquín Alfaro.  This event will not be broadcasted nor recorded... human connection only 😉#techspirithttps://lnkd.in/dRixNirX",0.9325,0.505,0,11,2 
Andres Ponce,15-03-2023,"Reply.io's new product, ChatGPT-powered Jason AI, brings together the power of AI-driven conversational marketing and automated customer engagement. This will revolutionize the way brands interact with their customers and boost customer loyalty. It's a great example of how Artificial Intelligence is transforming the digital marketing industry and is sure to be a game-changer for businesses in the near future..",0.9565,0.5169191919191919,0,0,0
Pawel G.,15-03-2023,"""AI is booming — so is its carbon footprint!""🤔If you like this article please click ""like"" and share it with your connections.#ai#environment#pollution#carbonfootprint#tech#electricity#chatgpt4#artificialintelligence#investment#grygashians",0.7424,0.0,0,2,1 
Salva A.,15-03-2023,"Today the GPT-4.0 chat version has been released and its API has been made public for developers. More comprehensive than its previous version -not to mention its multimodality- it promises a challenge and progress in artificial intelligence that few had predicted---P.SQ: Could an AGI be a form of government??A: Artificial General Intelligence (AGI) is a term used to describe a hypothetical machine intelligence that has the capacity to understand or learn any intellectual task that a human being can. While AGI is not a form of government per se, there are hypothetical scenarios in which an AGI could be used to govern society#GPT4#AI#ArtificialIntelligence#Multimodality#API#Technology#Innovation#Progress#Challenge#AGI#Government#Future#ChatGPT",0.9636,0.4259259259259259,0,1,0
Bjorn Beam,15-03-2023,"OpenAI announces ChatGPT successor GPT-4OpenAI has released GPT-4, the latest version of its hugely popular artificial intelligence chatbot ChatGPT.A preliminary differentiator, beyond the size of the data set being used, is it is multimodal (responds to text and image inputs) and that it is capable of processing eight times the text of nature of ChatGPT3.5. The next question we will explore is if this larger data set really increased the “intelligence” of the large language model (LLM) beyond its performance in standardised tests (see previous posts on the subject).Arcano Research#artificialintelligencetechnology#data#artificialintelligence#chatgpt#ai#llm#intelligence#language#research",0.9072,0.4994708994708994,0,1,0
Ouissam Fechtali Othman,14-03-2023,"Artificial intelligence is increasingly becoming part of our lives, from self-driving cars to ChatGPT. John Oliver discusses how AI works, where it might be heading next, and, of course, why it hates the bus.",0.0516,0.6166666666666667,0,0,0
Andres Ponce,15-03-2023,"GPT-4 is the newest advancement in Artificial Intelligence, and it will no doubt bring ChatGPT to the next level. However, it won't be able to address some of the existing issues with ChatGPT, such as its limited ability to understand context and its lack of conversation flow. We'll still need to rely on human intelligence to detect and address these flaws, so that users have the best possible experience.",0.7003,0.4584821428571428,0,0,0
Aruna Pattam,15-03-2023,"🚩 Exploring GPT-4OpenAI has revealed its latest language model, the successor to ChatGPT, called GPT-4.➡️ What is GPT-4 ?GPT-4 similar to ChatGPT, is a Generative AI system, an open source artificial intelligence language model developed by OpenAI.GPT-4 can be used for a variety of tasks such as chatbot development, automatic summarization tools, content generation tools and more.It has the potential AI applications in many industries, including healthcare, finance, transportation and robotics.➡️ How is it different from ChatGPT?GPT-4 has the capability to not only generate text, but also accept both image and textual input - a major step up from its predecessor of GPT-3.5 which accepted exclusively text.➡️ Some key points on GPT-4﻿* The latest model has the ability to interpret images, enabling it to suggest recipes based on pictures of ingredients and even generate captions and descriptions for visual content.* In addition, the new model has a significantly higher word processing capacity than ChatGPT, being capable of handling up to 25,000 words - roughly eight times more than ChatGPT.* According to OpenAI, the development of safety features for GPT-4 took approximately six months and included training the system on human feedback. Despite these efforts, the organization cautioned that the model may still be susceptible to disseminating misinformation.* Initially, GPT-4 will be offered to subscribers of ChatGPT Plus, who will receive premium access to the service.* GPT-4 has more advanced reasoning capabilities than ChatGPT, being able to offer features such as finding possible meeting times for three separate schedules with ease.* OpenAI has announced partnerships with Duolingo and Be My Eyes to develop AI-powered chatbots that can assist users in natural language. These chatbots will be designed to support language learners and visually impaired individuals.Despite improvements, OpenAI has cautioned that GPT-4 may still be prone to errors such as ""hallucinating"" - where the AI generates false information or erroneous reasoning.#gpt4#technology#innovation#business#generativeAI#ai#gpt#chatgpt#GetStartedAU",0.9746,0.5431107954545455,7 ,60,10 
