Username,Comment,Comment sentiment,Comment subjectivity,Date,Likes,Replies,Link
"              Dana ""Hardball"" Harbaugh            ",I just asked ChatGPT if it would exist without fossil fuels...,0.0,0.0,24-02-2023,3,2,https://www.youtube.com/watch?v=s6-E5oLRtFI
              WowFacts            ,ChatGPT can even write a thesis on feces. LOL,0.5473,0.7,05-03-2023,0,0,https://www.youtube.com/watch?v=s6-E5oLRtFI
              AxS            ,ChatGPT isn't fit for purpose. It got stuck at point 3 when I asked for some advice on how to write a movie script. Piece of rubbish.,-0.4784,0.4,24-02-2023,0,0,https://www.youtube.com/watch?v=s6-E5oLRtFI
              falx94            ,"A lot of people bring up the Turing test (ignoring that it's considered outdated and not a great metric for judging AI intelligence and potential sentience) and how it's creepy that certain chat bots, like ChatGPT, can potentially pass that test. That isn't really concerning to me, since it's text, and I doubt any of the humanoid robots could pass yet, because they still hit that ""uncanny valley"" threshold.

The really alarming thing will be the first time an AI deliberately chooses to FAIL the Turing test.",-0.6273,0.6388095238095237,24-02-2023,15,0,https://www.youtube.com/watch?v=b2bdGEqPmCI
              Michael Jensen            ,"The more I use ChatGPT the more it knows about me and will that information be sold, like FaceBook does, to other entities like insurance companies, advertising companies... that take advantage of that knowledge?  Is it best we all boycott using AI as our using it only helps it grow?  Thanks Digital Engine for another interesting video about AI!",0.9498,0.421875,17-02-2023,0,0,https://www.youtube.com/watch?v=b2bdGEqPmCI
              Sergi            ,"The ""AI is self-aware and dangerous"" rethoric is getting old and boring pretty fast. We've been on this shitshow for at least three decades, since computers became a must for every serious bussiness, now again with the AI getting over pre-programmed code. I don't know what you guys pretend saying so much bollocks about something most people dont even grasp to understand, I guess in this youtuber's case it's just clicks and views, but nevertheless, pathetic attempt of getting profit from the ""normies"" by the media as usual.

Guys, AI is not that big of a deal, it's gonna be huge and create a new world, sure, it's not gonna be as diferent as inventing the calculator. Noone stopped doing maths because of that. Noone died because they were ""worthless"" now that we could do maths so much faster. It's okay, it has always been this way with technology and it will probably will always be. Now keep testing ChatGPT and others and try to have as much fun as posible.",0.6059,0.5715842636895269,03-03-2023,0,0,https://www.youtube.com/watch?v=b2bdGEqPmCI
              k            ,"You and I are part of long, self-reinforcing cycles of caring, safety, etc. The fundamental problem with AI is it has no self-reinforcing cycles of goodness. It takes a lot of effort to raise a child (parent's love, etc.) and maintain a society so that human cycles can be repeated. But it’s the opposite with AI. There is competition for patents and financial rewards so programmers test something in the lab and the AI is thrown out to the world when it is refined enough to solve some problem (e.g., earning income from chatGPT).  We should expect very good but also very bad outcomes from AI because we are not growing slowly as a society with AI. Maybe if it took 40 years between SMRTYpants 1.0, 2.0 and 3.0 we'd be ok but the AI iterations are only a few years apart.",0.7948,0.4372222222222222,17-02-2023,8,0,https://www.youtube.com/watch?v=-cxoGm_Okmo
              Marc-Antoine Blaquière            ,"I used chatgpt many times and it's not good at all... Calculations mistakes (doesn't understand that 40 is a multiple of 5), data mistakes (it was inventing FCF data from companies I asked...), I also asked for a list IT services companies (IBM, ACN, INFY...) and it showed me computer selling companies like Apple, HP and Dell... It really, really... really sucks ! I'm patiently waiting for Bard !",-0.8199,0.32,04-03-2023,0,0,https://www.youtube.com/watch?v=WY518YRfs5M
              Wild West            ,"eh I am definately not as bullish on this as the media likes to portray it. ChatGPT is nice, but the issues with neural nets remain, and whether its fixable or not remains to be seen. Usually the last mile is the hardest.",0.4215,0.4388888888888889,03-03-2023,1,0,https://www.youtube.com/watch?v=WY518YRfs5M
              Alexandre Forget            ,"2023 is going to be wild. I don’t know beyond that.
We haven’t covered 2% of what chatgpt can do and gpt-4 is already here.
The same will happen in the following months. Breakthroughs after breakthroughs.",0.0,0.2083333333333333,16-03-2023,0,0,https://www.youtube.com/watch?v=WY518YRfs5M
              Daniel            ,ChatGPT changed my life,0.0,0.0,03-03-2023,0,0,https://www.youtube.com/watch?v=WY518YRfs5M
