Username,Date,Post,Post sentiment,Post subjectivity,Comments,Reactions,Reposts
moneycontrol.com,15-03-2023,OpenAI has announced the launch of its latest language model Artificial Intelligence tool in GPT-4 that has brought together key functions of ChatGPT and Dall-E.Here are the 5 things to know about GPT-4 👇https://lnkd.in/d3G6MsRp#ChatGPT#GPT4#OpenAI#SamAltman,0.4767,0.9666666666666668,0,1,0
Luca Mezzalira,14-03-2023,"This post demonstrates how to integrate AWS serverless services with artificial intelligence (AI) technologies, ChatGPT, and DALL-E. This full stack event-driven application showcases a method of generating unique bedtime stories for children by using predetermined characters and scenes as a prompt for ChatGPT.Every night at bedtime, the serverless scheduler triggers the application, initiating an event-driven workflow to create and store new unique AI-generated stories with AI-generated images and supporting audio.#serverless#aws#eda#chatgpt#ai#cloud#artificialintelligence#tech#generativeai",0.7964,0.709090909090909,9 ,311,35 
Yannis Angelis,15-03-2023,"💚 Shifting away from thinking of#wellbeingin#educationas a goal, towards practicing it in#relationship💚🌎 In a continuously changing educational environment, the many technological advancements and unprecedented social phenomena (pandemic, war, cost of living, AI awe) are continuously challenging our individual and collective mental, physical, emotional, and social resilience.I am delighted to offer this free-of-charge interactive#workshop, where you are invited to experiment with ideas about the way we think and perceive the nuance of well-being in such an environment. We will challenge dominant ideas about well-being by exploring and hatching questions like:👉 How could we free ourselves from seeing well-being as a health-informed goal, where the focus falls mainly on individual responsibility for its achievement? What could be an alternative process in an educational field?👉 How could we collectively explore well-being as something that exists, evolves, and can be practiced in a transcontextual and interdependent environment?👉 How could educational#systemsand actors influence Artificial Intelligence advancements (e.g.#chatGPT) and not just only the other way around?👉 How could narrative work become the incubator for learning#communitiesto practice well-being in mutuality and relationship?Bring your burning questions with you and join me on Thursday the 30th of March in this online workshop, organized byT-hap, from 15:00-16:00 CET, in ZOOM. You may register here:https://lnkd.in/dHfpnqxNThe compiled images below have been “created” by various#AI#artgenerators (DALL-E, Dream Studio, Stable Diffusion) under the prompt “Well-being in education image in synth-wave, collage street art, surrealism, symbolism, and impressionism styles of art” respectively.#health#learning#artificialintelligence",0.9378,0.5111772486772487,0,0,0
Yannis Angelis,15-03-2023,"💚 Shifting away from thinking of#wellbeingin#educationas a goal, towards practicing it in#relationship💚🌎 In a continuously changing educational environment, the many technological advancements and unprecedented social phenomena (pandemic, war, cost of living, AI awe) are continuously challenging our individual and collective mental, physical, emotional, and social resilience.I am delighted to offer this free-of-charge interactive#workshop, where you are invited to experiment with ideas about the way we think and perceive the nuance of well-being in such an environment. We will challenge dominant ideas about well-being by exploring and hatching questions like:👉 How could we free ourselves from seeing well-being as a health-informed goal, where the focus falls mainly on individual responsibility for its achievement? What could be an alternative process in an educational field?👉 How could we collectively explore well-being as something that exists, evolves, and can be practiced in a transcontextual and interdependent environment?👉 How could educational#systemsand actors influence Artificial Intelligence advancements (e.g.#chatGPT) and not just only the other way around?👉 How could narrative work become the incubator for learning#communitiesto practice well-being in mutuality and relationship?Bring your burning questions with you and join me on Thursday the 30th of March in this online workshop, organized byT-hap, from 15:00-16:00 CET, in ZOOM. You may register here:https://lnkd.in/dHfpnqxNThe compiled images below have been “created” by various#AI#artgenerators (DALL-E, Dream Studio, Stable Diffusion) under the prompt “Well-being in education image in synth-wave, collage street art, surrealism, symbolism, and impressionism styles of art” respectively.#health#learning#artificialintelligence",0.9378,0.5111772486772487,6 ,7,1 
ILoveFreeSoftware.com,15-03-2023,"In this video, I will talk about some best free book cover generator websites that you can use.1. Lexica is one of the best free websites that you can use to generate cover for books using AI. It is using Stable Diffusion underneath to generate the cover art.2. DALL·E 2 by OpenAI is one of the most sophisticated tools out there which you can use to generate images from text.3. Craiyon or formerly known as DALL-E Mini is very powerful AI based tool that you can use to generate book covers.4. Dream by Wombo is another book cover generator that uses AI. Wombo is a very popular app that can animate still photos.5. Canva is a very popular graphics creators that you can use. Recently, they added a text to image converter tool in it which is in beta stage now. If you use Canva for designing work, then know that you can now use it to generate book covers using AI.#Canva#ilovefreesoftware#craiyon#Lexica",0.9853,0.6318181818181818,0,0,0
david mcqueen,15-03-2023,"HEALTHY AI SKEPTICISMArtificial Intelligence (AI) has shaped a way many of us navigate technology. From speech recognition to search engines.Beyond the hype of tools like ChatGTP and Dall-E, or software like Alexa and Siri, I have always been intrigued by not just the models and languages used across various forms of AI, but the ethics behind how this intelligence is created, distributed and who has the major ownership on how most of AI is rolled out and to what ends.Tech Won't Save Us has become one of the most intriguing podcasts I listen to regularly, and on the most recent episode, Dan McQuillan,  a Lecturer in Creative and Social Computing at Goldsmiths, University of London and  author of Resisting AI: An Anti-fascist Approach to Artificial Intelligence, breaks down his own skepticism around how we embrace AI.Some good nuggets and questions that we should we be asking before we drink the cool aid of  jumping on another tech bandwagon without thinking it through.",0.9777,0.529582146248813,0,2,0
Swapnil Amin,15-03-2023,"Hey there, tech enthusiasts, have you heard the news? Brace yourselves because the release of GPT-4 is just around the corner, and it's about to change the game in a big way!Now, some people may argue that training on more parameters doesn't necessarily make LLMs better. But hold on, because there's one thing that's got everyone in the tech world buzzing with excitement: multimodal models.According to Microsoft's Germany CTO Andreas Braun, GPT-4 is going to introduce multimodal models that will offer completely different possibilities, such as videos. And that, my friends, is a massive unlock for the system.Let's break it down. Firstly, GPT-4 is going to be able to READ images, people! Not just generate them like Dall-E, the first generative AI tool that had everyone hyped last year. This represents a massive leap forward for GPT-4, making it an ""everything"" AI. Just imagine asking it to OCR an image or decipher the attitude of a painted face. And how about this for a transform prompt: ""age this person 10 years."" Mind-blowing, right?But wait, there's more! GPT-4 is also expected to have voice interaction as another modality. Move over Alexa and Siri, because GPT-4 is coming for the throne. And unlike those other virtual assistants, you'll be able to ask GPT-4 to write a song or transcribe a podcast.But that's not all, folks. GPT-4 is going to be able to read videos as input and build them as output. Yes, you read that right. An entire show made in GPT-4? It's not as far-fetched as it sounds. And YouTubers, get ready to quickly edit your videos with the help of GPT-4.Now, here's the kicker. GPT-3.5 has already passed the Turing test, Lovelace test, and all sorts of other AI criteria. Who knows how powerful GPT-5 or even GPT-10 will be? The possibilities are endless, and we can't wait to see where this technology takes us next.So get ready, tech enthusiasts, because GPT-4 is going to change the game in a big way. The days of AI being limited to just text are over. With GPT-4, it's not just the writers that will be affected - tons of visual and audio jobs are going to be impacted too.#technology#chatgpt4#chatgpt#chatgptai",0.9868,0.4903481822836661,0,0,0
David J. Wilson,14-03-2023,"Good morning! Are you interested in learning more about 2023’s most talked-about technology? 🧐Yes, I'm talking about the exciting world of generative AI, and its potential to transform industries and create new forms of content. Look at my first comment a link to this complete article byMcKinsey & Company, which explains the basics of#generativeaiand its many practical applications.Let me highlight here some key points:➡ Generative Artificial Intelligence (AI) describes algorithms that can be used to create new content, including audio, code, images, text, simulation, and even videos. In the category of machine learning, it generates all kinds of new content, such as articles where the grammar is perfect, the tone works, and the narrative flows, or music and art that really make sense.➡#chatgpt—the GPT stands for generative pre-trained transformer—it’s a free chatbot that can generate an answer to almost any question it’s asked. And DALL-E is a tool for AI-generated art. ChatGPT is being developed by a team of researchers and engineers at OpenAI, a research organization dedicated to advancing artificial intelligence in a safe and beneficial manner, ChatGPT was first announced and made available to developers in June 2020, and then released for testing to the public on November 30, 2022. As you can see in the image byInsider Intelligence, over a million people signed up to use it in just five days, a new record for user acquisition (Source:Data.ai). Computer code, essays, poems, and even jokes, are examples of what fans have posted while interacting with this chatbot (me included).➡ AI is the practice of getting machines to mimic human intelligence to perform tasks. For instance, voice assistants like Siri and Alexa are based on AI technology. Machine learning (ML) is a type of artificial intelligence. Through ML, practitioners develop AI through models that can “learn” from data patterns without human direction. The huge volume and complexity of data have increased the potential for machine learning, as well as the need for it.➡ Machine learning is founded on several building blocks, as our way of transforming your business model atCeibo Digital, starting with classical statistical techniques developed between the 18th and 20th centuries for small data sets. In the 1930s and 1940s, computer pioneers such as Alan Turing began working on the basic techniques for machine learning. Does anyone remember the Turing Machine?➡ Until recently, machine learning was largely limited to predictive models, used to observe, and classify patterns in content. Generative AI was a breakthrough. Instead of perceiving and classifying a photo, machine learning is now able to create an image or text description on its own.Generative AI has the power to transform the way we live and work, and ChatGPT is just one example of the incredible possibilities it offers. Contact me if you want to explore how it could help your organization!#technology",0.9951,0.4665416065416065,1 ,11,0
Douglas Losacco,14-03-2023,"👀Disrupção à vista:“We will introduce GPT-4 next week, there we will have multimodal models that will offer completely different possibilities – for example, videos” Andreas Brown, CTO da Microsoft Alemanha.Isso é gigante. 3 coisas que o GPT-4 vai fazer :🖼️1. ImagensA geração de imagens via AI foi o reino de ferramentas como Dall-E e Midjourney, hypes do ano passado.O GPT-4 promete não só gerar imagens, mas LER o que estas imagens dizem.Que tal decifrar qual o sentimento de um rosto em uma pintura? Ou até gerar dezenas de fotos em diferentes backgrounds para os produtos do seu ecommerce?🎧2. AudioEstá aberta a competição entre o GPT e a Alexa ou Siri.Porém ao contrário deles, a ferramenta da OpenAI poderá transcrever e interpretar podcasts por exemplo.Será possível usar a ferramenta para conversar com consumidores via áudio de WhatsApp? Veremos.🎥3. VideoO GPT-4 poderá ler vídeos e oferecer outputs a partir dele, como edições e até novas cenas com base no que viu.Poderemos fazer filmes e séries sem câmeras e atores a partir dos nossos textos?Aquele vídeo review do seu produto, que tal?Milhares de empregos já foram impactados pelo GPT-3, outros milhares serão com o GPT-4.⁉️Como você é seu negócio irão tirar proveito desta ferramenta disruptiva?#ai#ecommerce#video#microsoft",-0.4871,0.5333333333333333,1 ,15,0
david mcqueen,15-03-2023,"HEALTHY AI SKEPTICISMArtificial Intelligence (AI) has shaped a way many of us navigate technology. From speech recognition to search engines.Beyond the hype of tools like ChatGTP and Dall-E, or software like Alexa and Siri, I have always been intrigued by not just the models and languages used across various forms of AI, but the ethics behind how this intelligence is created, distributed and who has the major ownership on how most of AI is rolled out and to what ends.Tech Won't Save Us has become one of the most intriguing podcasts I listen to regularly, and on the most recent episode, Dan McQuillan,  a Lecturer in Creative and Social Computing at Goldsmiths, University of London and  author of Resisting AI: An Anti-fascist Approach to Artificial Intelligence, breaks down his own skepticism around how we embrace AI.Some good nuggets and questions that we should we be asking before we drink the cool aid of  jumping on another tech bandwagon without thinking it through.",0.9777,0.529582146248813,0,2,0
