Username,Comment,Comment sentiment,Comment subjectivity,Date,Likes,Replies,Link
              Smitcher            ,"I think the recent shoot in popularity of the DALL-E and Chat GPT bots are just the beginning. The appearance of AI in the public consciousness, to this degree, has happened incredibly fast. Advances will only get better. This will be the new fad for a long time--because it's hard not to think of new uses for these things. The most used tools in the world, soon enough....",0.6249,0.4788567493112947,17-12-2022,17,1,https://www.youtube.com/watch?v=RzkD_rTEBYs
              Jensen Raylight            ,"what people didn't know is that, Dall-e and ChatGpt already targeting the most hardest problem.
which is generating Arts from scratch, and writing Code.

everything else is a child play, because AI already solves the hardest problem and everything
other than that is super Easy.
there will be no exception, All jobs will be disrupted

in the future, there will be hundreds of different AI specialized in one specific problem,
so that if the AI makes an error, there will be other AI work on fact checking and fixing the issue, 
then there will be an AI Auditing the overall product produced by the other AI.

all of the combination above will guarantee AI to be able to do all Human Jobs
with amazing precision and they can produce Millions of things in Millisecond.

AI will rewrite history, our language,
and we won't be able to understand them anymore.
they will rewrite their own program Thousands time a second, and we won't be able to decipher anything at all.
we will lose control

does our existence still have a meaning when we are bombarded by Billions of new things everyday?
our Action loses its impact, we're insignificant",-0.4828,0.4183884297520661,17-12-2022,3,1,https://www.youtube.com/watch?v=RzkD_rTEBYs
              Isac Avelino            ,"This type of AI will change the world in a few months, it will be a revolution in the speed of repetitive activities, in productivity, this will help humanity.

ChatGPT, DALL-E etc.  One more step in history.",0.1779,0.2833333333333333,17-02-2023,0,0,https://www.youtube.com/watch?v=kh5dN72GTQ8
              Solus            ,DALL-E2 also has a feature where it can cleanup pictures from your photo but it is better because you can use AI to generate the pictures based on the description you give,0.5927,0.5,17-01-2023,6,3,https://www.youtube.com/watch?v=v6OB80Vt1Dk
              andrearusky            ,"it's strange you didn't even mention AI generated images, like MidJourney, Dall-E, Stable Diffusion",0.4404,0.15,17-01-2023,0,0,https://www.youtube.com/watch?v=v6OB80Vt1Dk
              Sanjay Sajeev            ,"Excellent video. It was quite insightful as it provided information from different perspectives. While discussing creativity, you could have mentioned Dall-E, Midjourney, etc. It was just a suggestion, most likely you didn't as the video was getting long.",0.743,0.7,17-12-2022,44,0,https://www.youtube.com/watch?v=PfY187sxquI
              Potato Face            ,"5:30 exactly!! It's not the tool's responsibility to limit creative expression and social media gatekeeps any ""harmful content"". Stable Diffusion is vastly superior to DALL-E 2 or Midjourney. DALL-E in particular tries so hard to be woke-friendly that they remove huge quantities of images because they depict reality and not their fantasy. Let artists make what they want and let society and platforms decide what's allowed.",0.8726,0.5489583333333333,17-02-2023,3,10,https://www.youtube.com/watch?v=s11k0yAA8ZQ
              ScarlettM            ,"3:30 - if I go online, look up an artist's work, study it and draw in it's style - am I stealing? If Dall-e was using pieces of existing works - then, yes, it's actively using someone else's work. But learning from an artist has NEVER been considered stealing.",-0.7096,0.6,17-01-2023,14,2,https://www.youtube.com/watch?v=s11k0yAA8ZQ
              John Talmage            ,"DALL-E's creator is a bit lacking in emotional cues....not surprised, considering",0.3612,0.775,17-01-2023,11,1,https://www.youtube.com/watch?v=s11k0yAA8ZQ
              ITPalGame            ,"I tried using the Dream by Wombo app with Ezekiel 1 parts and Revelation parts but it was a mess. It does not help that the app has a more limited number of characters to type so I had to cut the non-visual text out.

I haven't tried it with Midjourney, Dall-E 2, etc yet.

I do have a good painting of Jesus and His disciples playing poker though.",-0.5506,0.3544642857142857,03-03-2023,0,0,https://www.youtube.com/watch?v=s0AqlK_gCbU
