Username,Date,Post,Post sentiment,Post subjectivity,Comments,Reactions,Reposts
Matthew George,15-03-2023,"Found this a particularly compelling observation about how fast things are moving in this space -- ""ChatGPT, which uses A.I. to guess what word comes next, is rapidly improving. A few months ago, it couldn’t write a proper haiku; now it can do so with gusto."" How Siri, Alexa and Google Assistant Lost the A.I. Race",0.4005,0.28,0,0,0
Scott Arpajian,15-03-2023,"Good read from the NY Times on why voice-activated chat devices (Siri, Alexa, Google Assistant) have failed vs. Chatbots (ChatGPT) despite a 10 year head start and heavy investment.",-0.1027,0.4666666666666667,0,0,0
Tonnie Taller,15-03-2023,"How Siri, Alexa and Google Assistant Lost the A.I. Race",-0.3182,0.0,0,0,0
Alexander Steiner,15-03-2023,"𝗥𝗣𝗔 𝗶𝘀𝘁 𝗴𝗲𝗻𝗮𝘂𝘀𝗼 𝘁𝗼𝘁 𝘄𝗶𝗲 𝗱𝗶𝗲 𝗰𝗼𝗺𝗺𝗮𝗻𝗱 𝗹𝗶𝗻𝗲! ❌Seit Jahrzehnten bekommen wir das Versprechen, dass wir Befehle nicht mehr als Code eingeben müssen.Hierfür gab es schon die unterschiedlichsten Ansätze, die natürlich über die Zeit hin immer besser und ausgefeilter wurden.  🙌Alternativen für die Command Line sollen nach dem Willen der Entwickler unter anderem sein:🔹 Die grafische Benutzeroberfläche (GUI), die durch Icons, Buttons und Menüs die Interaktion mit dem Computer erleichtert und weniger technisches Wissen erfordert als die Command Line.🔹 Die ""Natural Language Interfaces"", die es ermöglichen, den Computer in natürlicher Sprache zu steuern, ähnlich wie man mit einem menschlichen Gesprächspartner sprechen würde.🔹 Und nicht zu vergessen Sprachassistenten wie Siri, Google Assistant und Alexa. Auch diese könnten als Alternative zur Command Line betrachtet werden, da sie es ermöglichen, Aufgaben und Befehle durch Spracheingabe zu steuern.Trotz des Fortschritts auf vielen Gebieten, werden oftmals die Versprechen, die mit der Vorstellung solcher Technologien einhergegangenen sind, selten und meist nur in Teilen gehalten. Fakt ist, dass wir auch heute bei der Bedienung unseres Computers bei bestimmten Aktionen nicht umhinkommen, das Eingabefenster öffnen zu müssen und einen entsprechenden Befehl dort einzugeben.👉  Warum? Weil es eben notwendig ist.Ähnlich verhält es sich mit RPA. Natürlich werden wir in der nächsten Zeit immer ausgeklügeltere und noch “Low codigere” Schnittstellenlösungen bekommen, um unsere Abläufe zu automatisieren. Es wird aber immer die Notwendigkeit geben, an der ein oder anderen Stelle in einem Prozess einfach direkt mit der Oberfläche interagieren zu können.Wir wissen alle, dass es in Unternehmen immer wieder Situationen gibt, in denen Prozesse ineffizient sind. Das wird sich auch in Zukunft nicht sonderlich ändern. Selbst wenn es technisch gesehen nicht mehr notwendig wäre, RPA zu verwenden, wird es wahrscheinlich noch lange existieren, wenn es aus Unternehmensgründen, Zeitmangel oder kommerziellen Gründen keine andere Möglichkeit gibt.RPA ist nur eine von vielen Optionen zur Prozessautomatisierung und wird in Zukunft weiter existieren, auch wenn es in 10 Jahren möglicherweise anders heißt. Letztendlich ist es nur ein Werkzeug, keine Philosophie oder Wissenschaft.Was ist Deine Meinung dazu? ✍#rpa#digitalisierung#automatisierung#prozessautomation#mittelstand",-0.9945,0.35,2 ,3,0
Jessica Ong,15-03-2023,"https://lnkd.in/gPJj2-2GChat GPT vs Google Assistant vs Siri vs BixbyWhich AI works better?In my opinion, Chat GPT is more a serious dedicator compiling info rather than we all click on blogs for 100 tools to look for - as an example. Basically, a great virtual assistant for you to compile niched info and even become your greatest blog writer ever. So, would you stop hiring content writer? You can copy and paste the robot's content...but still, gonna need a pair of human eyes to cross check contents and plagiarism. Also, for the free access, it allows mostly 3 usage/ day.However, Chat GPT doesn't talk like Google Assistant or Siri, and normally I will voice talk to google Assistant for some entertainment instead.Is Chat GPT the top Virtual Assistant currently? They are still reading your data based on what you search, just like any other Google SEO functions.#ai#data#content#chatgpt#aitrends#contentwriter",0.8876,0.5201388888888889,0,0,0
Amman Flores Fordan,15-03-2023,"Advance your abilities with possibilities in artificial intelligence that are flexible and work from home task. Apply today.Smart Assistant Validator in Arabic Speaker in#egyptYou will help tune virtual assistants used by billions of people by looking at a task and writing a query for it, validating existing queries, and thinking of different ways of asking the questions.Appen performs basic online tasks to validate the quality and relevance of virtual assistants. This position helps to ensure that people around the world are presented with the most effective and relevant data possible. In other words, your input counts in creating a better user experience.In project Arrow Butler, you will put yourself in the shoes of a smart home user and find different ways of writing specific requests in your local language.Person Specification:·      We need fluent speakers of various languages across the world, such asArabic speakers living in Egypt.·      You should be able to write proficiently in your language.·      You must be able to proficiently read English to understand instructions·      You should frequently check your email for notices from the project team for available work·      While not a requirement, it helps to have some familiarity with smart assistants, e.g., Google Assistant, Alexa, and SiriWhat do you need to prepare for Arrow Butler?·      Access to a stable internet connection·      Have a laptop or large-screened device, such as a tabletWhat to expect on Arrow Butler?·      You can expect Arrow Butler to stay around - it has been operating since 2019·      You can expect an alert via email whenever work is available in your locale but act quickly - it can go fast!Other Things to know:·      Review the splash page and acknowledge you want to proceed to the qualification·      Pass the Language Certification quiz (for some languages)Do you want a glimpse into the future of AI virtual assistants? Do you want to improve one of the world's most popular smart home technologies for over half a billion people? Become an Appen Contributor now!·      Work from home with flexible hours·      Opportunity to participate in more than one task and/or projects·      Earn extra incomeApply Now!https://lnkd.in/giMtUJ2sWhat to expect when you register:·      Create an Appen Account·      Choose Arabic (Egypt) as your primary language.·      Complete your profile and project registration [5 min]·      Study the provided guidelines [at your own pace]·      Agree to confidentiality and ways of working rules·      Pass the quizThank you and we hope to work with you soon!#egyptianjobs#jobsinegypt#parttimeinegypt#hiringinegypt",0.994,0.4998599439775911,0,2,0
Amman Flores Fordan,15-03-2023,"Advance your abilities with possibilities in artificial intelligence that are flexible and work from home task. Apply today.Smart Assistant Validator in Arabic Speaker in#moroccoYou will help tune virtual assistants used by billions of people by looking at a task and writing a query for it, validating existing queries, and thinking of different ways of asking the questions.Appen performs basic online tasks to validate the quality and relevance of virtual assistants. This position helps to ensure that people around the world are presented with the most effective and relevant data possible. In other words, your input counts in creating a better user experience.In project Arrow Butler, you will put yourself in the shoes of a smart home user and find different ways of writing specific requests in your local language.Person Specification:·      We need fluent speakers of various languages across the world, such asArabic speakers living in Morocco.·      You should be able to write proficiently in your language.·      You must be able to proficiently read English to understand instructions·      You should frequently check your email for notices from the project team for available work·      While not a requirement, it helps to have some familiarity with smart assistants, e.g., Google Assistant, Alexa, and SiriWhat do you need to prepare for Arrow Butler?·      Access to a stable internet connection·      Have a laptop or large-screened device, such as a tabletWhat to expect on Arrow Butler?·      You can expect Arrow Butler to stay around - it has been operating since 2019·      You can expect an alert via email whenever work is available in your locale but act quickly - it can go fast!Other Things to know:·      Review the splash page and acknowledge you want to proceed to the qualification·      Pass the Language Certification quiz (for some languages)Do you want a glimpse into the future of AI virtual assistants? Do you want to improve one of the world's most popular smart home technologies for over half a billion people? Become an Appen Contributor now!·      Work from home with flexible hours·      Opportunity to participate in more than one task and/or projects·      Earn extra incomeApply Now!https://lnkd.in/gTD63mimWhat to expect when you register:·      Create an Appen Account·      Choose Arabic (Morocco) as your primary language.·      Complete your profile and project registration [5 min]·      Study the provided guidelines [at your own pace]·      Agree to confidentiality and ways of working rules·      Pass the quizThank you and we hope to work with you soon!#moroccojobs#jobsinmorocco#workinmorocco#partimeinmorocco",0.994,0.4998599439775911,0,1,0
Bayron Lara,15-03-2023,"With voice assistant technology becoming increasingly popular, it can be tough to decide which one to use. We've put together a comparison of Alexa, Siri and Google Assistant to help make your choice easier. Read more:",0.7783,0.7708333333333334,0,0,0
Lukasz Szymanski,15-03-2023,"Tomasz OnyszkoWhy are people so triggered by the technical standard of smart contract implementation? Yes, my dear network - NFT - Non-Fungible Token is nothing more than just 9 lines of methods and 3 lines of events that smart contracts should implement if you want it to be compatible with smart contracts that support such standards. You can read more here:https://lnkd.in/dV5GvW5RTomasz Onyszkofuture of any technology isn't determined by the decision of a single big tech company. You are coming fromMicrosoftbackground so let me try to give some examples from your field (thank you chatgpt):Here's a list of projects or technologies that Microsoft either dropped, discontinued, or failed to capitalize on, which later turned out to be successful in the hands of other companies or in different forms:- Tablet PCs: Microsoft introduced the idea of a tablet PC with Windows XP Tablet PC Edition back in 2002. However, the devices didn't gain much traction, and the idea remained dormant until Apple released the iPad in 2010, which revolutionized the tablet market.- Smartphones and mobile operating systems: Microsoft developed Windows Mobile and later Windows Phone as mobile operating systems to compete with iOS and Android. Despite its early presence in the mobile market, Microsoft failed to gain significant market share and eventually discontinued Windows Phone. Meanwhile, iOS and Android continued to dominate the smartphone market.- Wearable technology: Microsoft introduced the SPOT (Smart Personal Objects Technology) watch in 2004, a smartwatch that could display news, weather, and other information. The project was discontinued in 2008. A few years later, companies like Apple, Samsung, and Fitbit successfully launched their own smartwatches and fitness trackers, creating a thriving wearable technology market.- Virtual assistants: Microsoft's Cortana, introduced in 2014, was an early player in the virtual assistant market. However, it failed to gain significant traction compared to competitors like Amazon's Alexa, Google Assistant, and Apple's Siri. While Cortana still exists, its presence and impact in the virtual assistant market are relatively limited.Personally, I am not jumping with excitement when big companies are announcing their involvement in some#web3technology because most of them and their practices, are the reason why this technology exists - but do I use it as social proof to encourage others to try it? YES.Answering your question: They don't get it.Don't blame technology, blame how companies are trying to use it.#nft#web3",0.8744,0.3764550264550264,2 ,4,0
Joseph Babi,15-03-2023,"""Hey Google... Hey Siri... Alexa""Do you catch yourself saying these phrases during your day?As voice assistants like Siri, Alexa, and Google Assistant become more ubiquitous, voice search is quickly becoming the new frontier of search engine optimization (SEO). In fact, in 2022, it's estimated that voice searches accounted for half of all online searches.But how can you optimize your website for voice search? Here are some tips:1. Use conversational keywords: People speak differently than they type, so it's essential to use conversational keywords and long-tail phrases that match how people talk.2. Optimize for featured snippets: Many voice assistants use featured snippets (also known as position zero) to provide answers to voice search queries. Optimizing your content to appear in featured snippets can increase your chances of appearing in voice search results.3. Focus on local search: Many voice searches are location-based, so optimizing for local SEO can increase your visibility in voice search results.4. Improve website speed: Voice assistants prefer websites that load quickly, so it's crucial to optimize your website's speed for better voice search rankings.By optimizing your website for voice search, you can increase your chances of appearing in voice search results and reaching a new audience of potential customers. So, don't overlook this important aspect of SEO!Have you optimized your website for voice search yet? Share your tips and experiences in the comments below!#voicesearch#seo#digitalmarketing#conversationalseo#featuredsnippet#localseo",0.9931,0.5217171717171717,0,0,0
Andrea Petrucci,15-03-2023,"Interesting take on the status of Digital Assistants after the release of ChatGPT. Amazon seems to have failed to fully monetise the Alexa product, and that's despite being it used more widely than Apple's and Google's assistants.They report Satya Nadella as saying:“They were all dumb as a rock,” Nadella told the Financial Times last month. “Whether it’s Cortana or Alexa or Google Assistant or Siri, all these just don’t work. We had a product that was supposed to be the new front-end to a lot of [information] that didn’t work.”And while that might be true, some see a possible renaissance ahead for voice assistants.",-0.1027,0.3973829201101928,0,0,0
Mohamed Salah,15-03-2023,"Virtual assistants like Siri, Alexa, and Google Assistant are changing the game when it comes to voice search. By using these tools, users can ask for information or perform tasks without having to type out a query. As a result, businesses need to start thinking about how they can optimize their content for these platforms.Successful voice search optimization for virtual assistants involves understanding the way people use these tools and creating content that is tailored to their needs. For example, users often use natural language when speaking to virtual assistants, so it's important to create content that answers common questions in a conversational way.If you're looking to reach potential customers through virtual assistants, start by thinking about the types of questions they might ask. Then, create content that answers those questions in a clear and concise manner. You can also optimize your website for voice search by using structured data markup to provide additional context for search engines.Overall, virtual assistants are revolutionizing voice search, and businesses that don't adapt risk falling behind. By understanding the unique challenges and opportunities of this technology, you can create content that stands out and reaches your target audience.#voicesearch#seo#digitalmarketing#searchengineoptimization",0.9811,0.6648148148148149,0,0,0
Albert Shum,14-03-2023,"Excited to dive into the report more, thank youDr. John Maedafor your tireless work to put this together for the design community. it's a monumental effort.On Nicholas architecture machine, I was having a discussion with my friendTim Sheineron a stroll in the park on the inquiry, will Chat Interface become the new Operating System for computing platform? Will we revert back to command lines and text based interface, that you need to learn a new way to prompt the machine to do what you want it to do??What are the UX limitations that will need to be overcome for Chat to be a operating system? or this is an inherent bandwidth limited interface as we found with last generation bots like Alexa, Cortina, Google Assistant and Siri?#design#uxdesign#genai#ux",0.7937,0.3383735312306741,0,16,0
Md Khairul Islam Tamim,14-03-2023,"5 Hot Topics in Digital Marketing1. Personalization: Personalization is the practice of tailoring marketing messages and experiences to individual consumers based on their preferences, behaviors, and characteristics. With the wealth of data available through digital channels, companies can use personalization to create more relevant and engaging experiences for their customers.2. Video marketing: Video has become an increasingly important part of digital marketing strategies, as it can be used to convey messages in an engaging and memorable way. From social media videos to YouTube ads to live streaming, video can be a powerful tool for building brand awareness and driving engagement.3. Influencer marketing: Influencer marketing involves partnering with social media influencers to promote a brand or product to their followers. As social media has become more influential in shaping consumer behavior, influencer marketing has emerged as a popular way for brands to reach new audiences and build credibility with their customers.4. Voice search: With the growing popularity of voice assistants like Siri, Alexa, and Google Assistant, optimizing for voice search has become an important consideration for digital marketers. Voice search queries tend to be longer and more conversational than text-based queries, and companies need to adapt their SEO strategies to account for this shift.5. Artificial intelligence: Artificial intelligence (AI) is increasingly being used in digital marketing to automate tasks, improve personalization, and analyze data. From chatbots to predictive analytics, AI can help companies deliver more efficient and effective marketing experiences to their customers.#digitalmarketing#marketing#seo#brand#help#engagement#video#socialmedia#influencermarketing#artificialintelligence#google#building#consumerbehavior",0.9937,0.5287337662337662,0,2,0
Francisco Dalla Rosa Soares,14-03-2023,"Neither engineers nor end users should be having to ""prompt engineer"".engineers should have more powerful ways to control the output and interaction (which actually OpenAI sort of provides through their API with role prompts but it still doesn't feel enough)and end users shouldn't have to bother with that at all.People may say what they want about Google, but I believe they are one of the top (if not _the_ top) company providing seamless integration between AI tech and day to day products (Google assistant's really high understanding capabilities when compared with Siri, Gmail and Docs completion suggestions that have been there for years already, Google translate's above par accuracy - at least for * to English pair of languages) and in a way that's what makes it not stand out: it just looks really natural and obvious.",0.8732,0.3866666666666667,1 ,13,0
Richard Kaufman,14-03-2023,Ralph AveThank You For Your Friendship & Mentorship.🇺🇸 Does Your Resume Suck?🇺🇸 Are you struggling finding a job after serving this great nation?🇺🇸 This interview with Chief Master Sergeant Ralph Ave is truly insightful and inspiring.To listen to this episode say Alexa or Google Assistant or Siri play Vertical Momentum Resiliency Podcast or click herehttps://lnkd.in/dPCxxuJF🇺🇸 After serving 20 years in The United States 🇺🇸 Air Force he started to feel the same pain a lot of Veterans feel when they transition out.🇺🇸 So he wrote an amazing book 📖 about how to become a Modest leader.🇺🇸 He also started a business helping Veterans get high paying jobs by putting together high quality professional resumes.🇺🇸 We talk about lessons we learned from our friends and mentors Robert Garcia Lane Belone Nick Valentine Gary Vaynerchuk and Steven Eugene Kuhn🇺🇸 So if you are struggling finding your way in the civilian sector check out his websitehttps://lnkd.in/d4r9GjqATO ENTER TO WIN A FREEEE SHIPMENT OF COFFEE ☕️ FROM Jose Roberto Alaniz Jr. Third Day Coffee Seguin CLICK HEREhttps://lnkd.in/d2KR9WwiThank you to TEAM VMNATION William Maitre Ginger N David Patrick Burt Daniel Curry Podc Ast Promote R Kennedy Page#airforce#veteran#authorsofinstagram#interview#business#podcast#veterans,0.9737,0.4727777777777777,1 ,2,0
Vitrain,14-03-2023,"La Inteligencia Artificial (AI) está en todas partes y puede que ni siquiera te des cuenta. Aquí tienes cuatro ejemplos de cómo la IA está cambiando nuestro mundo.👉 Los asistentes virtuales como Siri de Apple, Alexa de Amazon y Google Assistant utilizan la IA para entender y responder a las preguntas de los usuarios.👉 Los motores de búsqueda como Google utilizan la IA para proporcionar resultados relevantes y personalizados a los usuarios.👉 La IA se utiliza para mostrar anuncios relevantes a los usuarios en función de sus intereses y comportamientos.👉  Los automóviles autónomos utilizan la IA para reconocer y responder a las señales de tráfico, detectar objetos y tomar decisiones de conducción.¿Qué te pareció? ¿Qué otros usos conoces? Déjanos un comentario#ai#inteligenciaartificial#tecnologia#innovacion#vitrain",0.264,1.0,0,3,0
Gaston Algaze,14-03-2023,"During the last couple of months I’ve been trying out ChatGPT, making sure to do it in a way that would go beyond the novelty, trying to address real life challenges.This is what I found.1. It’s relatively easy to use, I can see it embedded in almost every aspect of our daily life. Imagine a smarter Siri, Alexa or Google Assistant.While not entirely smooth yet, it will solve most of the hurdles of modern life. All simple questions will be answered, not googled, answered right here right now.2. There’s a chance people will become more stupid, by relying on AI as people rely today on a GPS to drive everywhere. Experience will still matter, but if we remove people from building such experience, then we’re really putting our own evolution into the AI’s hands.3. Will my job be impacted by this technology? 100% Yes. Will I lose my job? Look if you’re questioning yourself today whether you’re going to lose your job or not, then you probably will. The question is not whether you’ll lose it or not, the question is how you can take this new tool and apply it to make it your own.4. I’m pretty sure this will accelerate the lifecycle of many technologies, products and even cultures. We’re looking at the next real evolutionary stage. And something people don't realize, is that this started not with ChatGPT but many years ago with thousands of other models. AI is coming to stay and we will need to adapt.So now you know what I think the next few years will bring. What's fascinating is that we brought ChatGPT to life by programming it to mirror our own thoughts and expressions. We're now entering a new era where humans won't be the only ones creating things that are uniquely human. There's a growing similarity between the products of human creativity and those of AI. We're even starting to adopt some machine-like characteristics, which makes it easier for robots to learn from us. It's exciting to imagine how humans and robots will work in tandem to achieve incredible feats in the future.So, how do you think AI will impact your world? I'd really like to hear your thoughts...#technology#ai#experience#people#work",0.9835,0.490012225428892,0,23,0
