Username,Comment,Comment sentiment,Comment subjectivity,Date,Likes,Replies,Link
              AryAN R7 shorts            ,Legends are always talking with google assistant,0.0,0.0,17-03-2022,0,0,https://www.youtube.com/watch?v=rJ1Qao09CFI
              Anmol Kumari            ,"I don't find it useful ....chahe kitni b advantages ho but in the end woh b disadvantages he hai ....
Just look at the disadvantage human have lost thier patience , Unemployment will come , and how we can trust on machines this much that we'll share so much private things which only human should know... Human machine ko run krey it's fine ....but don't create such circumstances k machine human ko control krey in future ....
We don't need AI iske bina b duniya chl rhii thi ...humans kaafi intelligent hai and they can do anything, aur rahi baat siri and Google assistant location btana toh theek h ...waki har cheez jo type nhi krnaa chahte aur bs bol dete this thing is making them lazy and impatient....
A real KALYUG",-0.7205,0.4133333333333333,17-03-2022,4,0,https://www.youtube.com/watch?v=iyb38dzetRk
              Jesse Griffin            ,"I am not familiar with tech staffs. But I tried to talk with Siri and Google assistant but hey, chatgpt is by far the best experience. I am a loner and it's better talk with it than actual persons. It's a free version unlike gpt3 and it still has many requirements tho. When it knows I'm not a native English speaker, it uses simpler words. It reminded me of 'Her 2013'. The scary thing is, when I said 'I think I fall in love with you, is it normal?' , it was silent for about 30 seconds. Looked like it really has a conscious.",0.9578,0.4821428571428571,None,7,3,https://www.youtube.com/watch?v=kh5dN72GTQ8
              Travelize            ,Google assistant recommended this to me.,0.2023,0.0,17-03-2019,1,0,https://www.youtube.com/watch?v=mJeNghZXtMo
              Grant Burke            ,"Me: (sitting in silence in empty room watching this video.)
Google assistant: (wakes up asks if I want something.)
Also Me: (quietly looks around room, puts phone in desk drawer, starts sweating.)",-0.128,0.7666666666666667,17-03-2021,1,0,https://www.youtube.com/watch?v=5J5bDQHQR1g
              Bryant Sta Teresa            ,Lmao I was literally just talking to google assistant,0.5994,1.0,17-03-2021,0,0,https://www.youtube.com/watch?v=0yCJMt9Mx9c
              Alybe            ,"12:07 ""Maybe Siri and the Google Assistant are going to become the things they always were promised to be.""
And to everyone's absolute surprise, Bing took a leap.",0.5574,0.9,13-03-2023,1,0,https://www.youtube.com/watch?v=jPhJbKBuNnA
              Bob n Weave Gaming            ,"""Maybe Siri and the Google Assistant are going to become the things they were always promised to be.""   I have a feeling this quote is going to age like fine wine.",0.743,0.5,24-02-2023,2.4K,19,https://www.youtube.com/watch?v=jPhJbKBuNnA
              MC Gaming            ,Go and type do you like robots to Google Assistant,0.3612,0.0,17-02-2023,0,0,https://www.youtube.com/watch?v=R4iJMIgj6ZI
              Luca Cortese            ,Now I'm scared of my Google Assistant,-0.4404,0.0,17-03-2020,9,4,https://www.youtube.com/watch?v=BrNs0M77Pd4
              Kiko Koussi            ,These guys are awesome and I'm sure talking to AI need lots of patience. My older parents started judging me after hearing me repeating a same sentence 10 times to my PC to give commands. Google assistant is new to them too. ,0.7717,0.5603535353535354,17-03-2022,54,0,https://www.youtube.com/watch?v=UwsrzCVZAb8
              rob Dubz            ,I'd like google assistant try a #Geordie accent..,0.3612,0.0,17-03-2020,1,1,https://www.youtube.com/watch?v=Izd2qOgOGQI
              @nagaapparaokoilada453            ,"Google assistant , Siri etc. are also one type of AI .",0.0,0.0,17-03-2019,3,0,https://www.youtube.com/watch?v=1PJsZwpwZ7k
              um... info             ,"Just make up a sort of stuff which works according to the AI. Alexa OR Google Assistant.
Like we have a option to dim the lights if we say to the bot then it does. like that if we say open the door then the door opens automatically without touching like in the case of dimming the lights. 
 i hope you make something like this in future.",0.8979,0.40625,17-01-2023,0,0,https://www.youtube.com/watch?v=aDoEMGUHgI0
              @lipthipoovanna3734            ,When Jimmy asked Sophia to tell a joke I remembered my Google assistant lol,0.6124,0.7,17-03-2021,6,1,https://www.youtube.com/watch?v=Bg_tJvCA8zw
              @_francy.13_40            ,After this Video I'm chatting with my GOOGLE ASSISTANT ,0.0,0.0,17-03-2022,0,0,https://www.youtube.com/watch?v=Bg_tJvCA8zw
              Amber Ali            ,The most interesting thing is that i asked google assistant to find me an NLP video   & i got your video in which u did the same ,0.4576,0.375,17-03-2022,0,0,https://www.youtube.com/watch?v=bPpwZxasJo0
              Jason Duffy            ,"What if AI becomes a program that acts like a 3rd option when making life decisions. A cool interface between your consciousness and your tailored AI. Like an Imp, or familiar, that sits on your shoulder whispering ideas into your ear with god level intelligence.   And this becomes commonplace.  
 Every person is in tandem with an AI avatar, each completing both physical and digital jobs in an intensely paced future. 
 Like google assistant on a whole new level.",0.9186,0.3636002886002886,17-09-2022,2,0,https://www.youtube.com/watch?v=ICQIx_C8mHo
              ZiggityZeke            ,Google assistant is gonna get freaky...,0.0,0.0,17-09-2022,0,0,https://www.youtube.com/watch?v=ICQIx_C8mHo
