Username,Comment,Comment sentiment,Comment subjectivity,Date,Likes,Replies,Link
              Maxwell Hauser            ,"I hope you’re okay! I’ve been obsessed with AI since I discovered it. It’s so amazing and so terrifying at the same time. I’m fascinated to see how it will shape the future of humanity.

I’m really happy to have found your channel. Your content is so existential and thought-provoking. I’m always waiting for your next video.

Don’t worry about videos taking a while or whatever; this sort of content takes a lot of time and effort, and I’m sure everyone is aware of the amount of work you put into making these.

I discovered MidJourney the other day and was absolutely blown away. It’s insane what technology and AI can do even today, and they are still in their infancy.",0.8425,0.5974206349206349,17-09-2022,105,10,https://www.youtube.com/watch?v=b2bdGEqPmCI
              Bushboy-Kev & Babuu            ,"/imagine a shot of forbes interview , captured with a Nikon D850 AF-S NIKKOR 70-200mm f/2.8E FL ED VR lens, lit with high-key lighting to create a soft and etherial feel, with a shallow depth of field -- ar 2:3

Copy that to Midjourney and see your computer explode",0.2732,0.425,24-02-2023,5,2,https://www.youtube.com/watch?v=WY518YRfs5M
              Xyma Ryai            ,"wow, midjourney did an incredible job with the thumbnail",0.5859,0.95,06-03-2023,0,0,https://www.youtube.com/watch?v=_iMItrc0ChU
              A B            ,Bruh used Midjourney for the thumbnail ,0.0,0.0,06-03-2023,0,0,https://www.youtube.com/watch?v=_iMItrc0ChU
              Desperado            ,"Ive said it once and ill say it again.
Web3 wont be crypto based or integrated.
It will be a almost seamless ai integration of visual, text and media.
Eventually most content will be ai generated.

Ive only screwed around with chatgpt a little as well as midjourney but given the right prompts and data training; most people will stop creating things the old fashioned way.
Why bother when an ai can do it cheaper and faster, with same or better quality?
With all the good and mostly bad that entails.

It wont kill human generated content completely it will seriously put a dent in it.
Barring some kind of ban or prohibition law that is.",-0.7015,0.4878851540616247,24-02-2023,4,1,https://www.youtube.com/watch?v=USH9xtxz-vU
              @katherinegordon8088            ,"I am of the opinion that ai art is useless and that graphic illustrators will never go out of work! I cannot find a program that will upload a single image...say a cute dinosaur the i have created in midjourney, full color, and just be consistent and make this character move in various dimensions and poses...I challenge anyone to program this type of program. I want to spend my time writing not learning a graphics program.",0.4753,0.4448979591836735,13-03-2023,0,0,https://www.youtube.com/watch?v=sAUpoJixwZg
              Robert Syrett            ,When is Midjourney going to make a remix?,0.0,0.0,17-12-2022,2,0,https://www.youtube.com/watch?v=jaysR-sashY
              @RafiqulIslam-pi7yb            ,"Ai can creat artwork now , go see in midjourney .",0.0,0.0,17-09-2022,0,0,https://www.youtube.com/watch?v=jqVlmaZIX4U
              a random person            ,"I'm a software engineer of 20+ years, and use chatgpt, github copilot, even midjourney and stable diffusion almost every day.  It's enhanced my productivity tenfold and is now an invaluable tool that I don't know if I could ever go back on... however there is absolutely no doubt that GPT does and will cause incomprehensible repercussions in society.. and we're just getting started.  Kids no longer have to do homework, many types of graphic artists, painters, story writers, editors, etc careers will be soon obsolete.. except for highly skilled.. 

People really have no idea what's coming, and it's coming FAST.  Whichever company is able to product a robot that can do simple labor and tasks (tesla optimus perhaps), boom there goes millions of jobs.  Granted who wants to scrub toilets, mow lawns, etc.. it's a waste of human capabilities, and should be replaced by Ai anyway... but our current economy isn't ready for such a massive disruption that this will bring.

For example, I just wrote a custom app that was written at least half by AI and all graphics were made by midjourney.. it's great since I don't have to find a graphic artist to help me with UI.. as the current results are vastly superior to any past product UI designers i've worked with... and I get unlimited prototypes and fine tuning lol.  Probably won't be long before many basic coding needs are met by AI as well, especially if it can write file structures.  It will be very interesting to see how the future of AI unfolds... I'm excited regardless.",0.9672,0.4593377976190476,17-01-2023,280,85,https://www.youtube.com/watch?v=kh5dN72GTQ8
              MJMD\            ,"I agree with your feeling Tom.  I felt the same way watching Midjourney and ChatGPT this year.  As a programmer, I think everything in my industry that I've spent a decade training in is going to change irrevocably.",0.4588,0.1125,03-03-2023,11,0,https://www.youtube.com/watch?v=jPhJbKBuNnA
              Maarten Slegers            ,I felt the same when I discovered midjourney. Being a graphic designer I never expected this so soon.,0.0,0.3083333333333333,17-02-2023,269,7,https://www.youtube.com/watch?v=jPhJbKBuNnA
              Jereckinfreb            ,"As an artist, I had the same pit of my stomach dread wash over me that you describe when I saw the images Midjourney creates. So thanks for making me feel less alone in that.

Felt like I had been close to obsoleted, and that our way of life was going to change, and felt in fullness the reality that I had no power over it.

In my case, I haven’t drawn anything since the day I had that experience, and soon after abruptly changed career direction and enrolled in a master of teaching degree. So I guess I’m betting on us being at the shallow end of the sigmoid curve.",0.223,0.3783333333333333,17-02-2023,86,9,https://www.youtube.com/watch?v=jPhJbKBuNnA
              Kelly B. Nunn            ,Great as always. I just started with MidJourney for image manipulation. And it’s really addictive.,0.4404,0.825,17-01-2023,1,0,https://www.youtube.com/watch?v=v6OB80Vt1Dk
              andrearusky            ,"it's strange you didn't even mention AI generated images, like MidJourney, Dall-E, Stable Diffusion",0.4404,0.15,17-01-2023,0,0,https://www.youtube.com/watch?v=v6OB80Vt1Dk
              Paul Kamau            ,Hey there...i saw a couple of vids about a dashboard created by midjourney  ai....would you mind making a vid about it,0.25,0.0,17-12-2022,1,0,https://www.youtube.com/watch?v=v6OB80Vt1Dk
              ßØSS 1417            ,How is midjourney not on here!,0.0,0.0,17-12-2022,1,0,https://www.youtube.com/watch?v=v6OB80Vt1Dk
              Leandro Ribeiro            ,and that because you not showed them midjourney,0.0,0.0,17-01-2023,0,0,https://www.youtube.com/watch?v=v6OB80Vt1Dk
              CuhhZayyUhh            ,Everything I created with MidJourney bot scared the shit out of me ,0.4767,0.8,17-10-2022,0,0,https://www.youtube.com/watch?v=LhUAzphBUzc
              Kara Haggard            ,Midjourney does image to image too,0.0,0.0,17-10-2022,0,0,https://www.youtube.com/watch?v=LhUAzphBUzc
              Sanjay Sajeev            ,"Excellent video. It was quite insightful as it provided information from different perspectives. While discussing creativity, you could have mentioned Dall-E, Midjourney, etc. It was just a suggestion, most likely you didn't as the video was getting long.",0.743,0.7,17-12-2022,44,0,https://www.youtube.com/watch?v=PfY187sxquI
              The problem            ,Midjourney enjaneyaa work avunnee,0.0,0.0,17-12-2022,1,0,https://www.youtube.com/watch?v=PfY187sxquI
              ShootArrow MissArrow            ,"All ChatGPT, MidJourney, OpenAI developers and their advocates are seemingly having a great time losing humanity to machines.",0.3612,0.75,17-01-2023,4,1,https://www.youtube.com/watch?v=8nt3edWLgIg
              Hello There            ,"On one hand, I find it fun, on the other hand as this stuff progresses it could easily become a genuine threat to humanity.
Whether its Neuralink, ChatbotGPTs or Midjourney art creations.
 
With such things coming out, really the only people who will succeed are those already rich and those who control these AI.
 
People don't seem to realize that the idea of AI and Robots taking over every human job is by no means a fantasy, and by the end of our lifetimes many jobs will already be robot operated unless something changes.
 
It also poses an extreme human life endangerment, as someone in the Airforce, I love getting to use the drones. But, as they progress and get ever more dangerous, and with AI potentially being able to take the role of the drone operators in the next few years, warfare would be even worse then it is now.
And such tech could possibly induce more warfare then there is today.
 
And, my final point, I know many people (like myself, I guess) who are against this, and in recent years due to global events extremism is on the rise.
It could go as far as too causing world rebellions, and that is by no means a fantasy either as I know people who would easily take out their gun and fight.",-0.8569,0.5447222222222222,17-02-2023,2,0,https://www.youtube.com/watch?v=30TpiDwnMYU
              Potato Face            ,"5:30 exactly!! It's not the tool's responsibility to limit creative expression and social media gatekeeps any ""harmful content"". Stable Diffusion is vastly superior to DALL-E 2 or Midjourney. DALL-E in particular tries so hard to be woke-friendly that they remove huge quantities of images because they depict reality and not their fantasy. Let artists make what they want and let society and platforms decide what's allowed.",0.8726,0.5489583333333333,17-02-2023,3,10,https://www.youtube.com/watch?v=s11k0yAA8ZQ
              TheWebStylist            ,I use MidJourney and OpenChat daily AMAZING!! #NextLevel2023,0.7284,0.45,17-02-2023,5,0,https://www.youtube.com/watch?v=s11k0yAA8ZQ
              Dr. David Gersten — Amino Acid Therapy            ,"I’ve used MidJourney for 6 weeks. It does not learn in the way you would like. Each prompt is unrelated to previous prompts. Mid Journey’s weakness is that it can create faces and hands that are terrible, so I usually add the words “very detailed facial features.” One thing that has taken me awhile to figure out is the use of Seeds. At the end of a prompt, if you type- -seed (like seed 1 or seed 2,etc, if you like most of the work, you can copy the text with seed, but edit the text any way you want. Except for what you changed, with a seed the rest of the image will be unchanged. To date, there are 50 billion images in these AIs, basically every image, or photo is in that AI. Overall the images you showed do paint a coherent story. I do believe that AI has not learned much about emotion and facial expressions. I think the experiment you did works well. I’ve done a number of Angels on Mid Journey. I think our personal intention leads to good art, great art, or terrible art...depending on what we are striving to attain.",0.875,0.4026041666666666,12-03-2023,0,0,https://www.youtube.com/watch?v=s0AqlK_gCbU
              Eve Again            ,"I tried something similar with part of a poem by W B Yeats called ""The Second Coming"", and Midjourney generated a shapeless and partially-formed monster rising up out of the desert.",0.0,0.2333333333333333,13-03-2023,0,0,https://www.youtube.com/watch?v=s0AqlK_gCbU
              ITPalGame            ,"I tried using the Dream by Wombo app with Ezekiel 1 parts and Revelation parts but it was a mess. It does not help that the app has a more limited number of characters to type so I had to cut the non-visual text out.

I haven't tried it with Midjourney, Dall-E 2, etc yet.

I do have a good painting of Jesus and His disciples playing poker though.",-0.5506,0.3544642857142857,03-03-2023,0,0,https://www.youtube.com/watch?v=s0AqlK_gCbU
              Dallas James            ,What ai art program are you using I actually pay for midjourney that works really well,0.2484,0.15,17-01-2023,0,0,https://www.youtube.com/watch?v=s0AqlK_gCbU
              Alexandra Vasile            ,"I tried it in midjourney, with the pronoun he, without mentioning Jesus, and it knew . The artwork looked biblical and it was Jesus ",0.0,0.0,17-02-2023,0,0,https://www.youtube.com/watch?v=s0AqlK_gCbU
              Gilberto Huamán R.            ,"I was trying to generate lietarlley accurate biblical angel, but can not define good words on bluewillow AI. I have not the payment version of Midjourney",-0.4782,0.6166666666666667,24-02-2023,0,0,https://www.youtube.com/watch?v=s0AqlK_gCbU
              Bre C            ,"If only the folks in the video could see our creative AI's today, such as DALL-E 2, Rave, Midjourney, Stable Diffusion etc...",0.6249,0.8333333333333334,17-11-2022,1,0,https://www.youtube.com/watch?v=R3YFxF0n8n8
              Sc B            ,Vai Midjourney Bot already replaced the average graphic designer..,0.0,0.4,24-02-2023,0,0,https://www.youtube.com/watch?v=xMGiGgbHNso
              Sifat Hossen            ,এখনি তো ছবি তৈরি করা যায় Midjourney তে ,0.0,0.0,17-02-2023,0,0,https://www.youtube.com/watch?v=xMGiGgbHNso
              alterdino            ,"AI will certainly make an impact. 2-3 month ago Midjourney couldn't even draw a normal car, but after they released V4 it changed everything. So in next couple of years it will be absolutely amazing.",0.8095,0.5303571428571429,None,4,0,https://www.youtube.com/watch?v=_avhEwu0AX4
              Walter Burton            ,"Feels kind of like you're shilling for Midjourney which, contrary to what you implied in the video, is not free. ",-0.1268,0.8500000000000001,17-02-2023,0,0,https://www.youtube.com/watch?v=_avhEwu0AX4
              Ranjit Singh            ,"Midjourney is still blowing my mind on a daily basis. And it's improved massively over the last month, the top images are incredible, way better than they were a month ago. And it's ability to replicate artist's style is  amazing. This thing is going to put concept artists out of work.",0.9169,0.5523809523809524,17-09-2022,54,6,https://www.youtube.com/watch?v=SVcsDDABEkM
              lilant702            ,"I wish you guys showcased DALLE 2 more, it's leaps ahead of Midjourney, although what they've been able to accomplish so quickly is amazing.",0.8612,0.6749999999999999,17-06-2022,18,2,https://www.youtube.com/watch?v=SVcsDDABEkM
              Karl Hiner            ,"You've done a really great job here. The context & framing, the explanations, and your overall take, focused on the artistic outcomes that have already been happening in the short time since the release of these models, all A+. Motivating multiple dimensional representations with your balloon/banana classifier, and explaining latent space as a natural outcome of making progress on that task, I will definitely use that. And tying it all together with the cheeky ""multi-dimensional latent space"" Midjourney prompt ",0.9531,0.4214285714285714,None,4,0,https://www.youtube.com/watch?v=SVcsDDABEkM
              El Nitro            ,I’m already a heavy user of MidJourney (after trying Pitty and Disco Diffusion for a couple of months) and I can confirm that it is highly addictive and will absolutely blow your mind when you start generating images with it. This is real game changer. Can’t wait to get my hands on Dall-e 2…,0.0,0.725,17-06-2022,14,1,https://www.youtube.com/watch?v=SVcsDDABEkM
              Tina Mailhot-Roberge            ,Midjourney is a brilliant tool. Thanks for explaining the process behind it! I pointed out to my partner yesterday that it has some biases but they can be overcome by defining the prompt to be more inclusive. It's definitely the future. ,0.8219,0.5041666666666667,17-06-2022,2,0,https://www.youtube.com/watch?v=SVcsDDABEkM
              Your Mum            ,"As someone who has midjourney, I can say it truly feels like magic with some of the stuff it creates. Also, comment a prompt and I will create it for you!",0.8356,1.0,None,21,10,https://www.youtube.com/watch?v=SVcsDDABEkM
              𝔯𝔶𝔢            ,"MidJourney is the greatest thing I have ever seen in my entire life.. THANK YOU FOR DOING THIS!, I paid for the $10 a month.  worth it!",0.8725,0.5750000000000001,17-08-2022,0,0,https://www.youtube.com/watch?v=SVcsDDABEkM
              Ayeohx            ,I recently starting using Midjourney. It mostly makes nightmares. I really like it.,0.4201,0.2666666666666666,17-08-2022,0,0,https://www.youtube.com/watch?v=SVcsDDABEkM
              CheezhOfficial            ,Midjourney does this perfectly!,0.7424,1.0,17-08-2022,0,0,https://www.youtube.com/watch?v=SVcsDDABEkM
