Username,Comment,Comment sentiment,Comment subjectivity,Date,Likes,Replies,Link
              Seema Ramji            ,"A- Sophia the robot has a Saudi Arabian citizenship
B- Japanese robot kengoro has a skeletal system
C- Siri and Alexa understand their owners emotions 
D- IS THE ANSWER",0.0,0.0,17-03-2021,14,0,https://www.youtube.com/watch?v=ad79nYk2keg
              Anmol Kumari            ,"I don't find it useful ....chahe kitni b advantages ho but in the end woh b disadvantages he hai ....
Just look at the disadvantage human have lost thier patience , Unemployment will come , and how we can trust on machines this much that we'll share so much private things which only human should know... Human machine ko run krey it's fine ....but don't create such circumstances k machine human ko control krey in future ....
We don't need AI iske bina b duniya chl rhii thi ...humans kaafi intelligent hai and they can do anything, aur rahi baat siri and Google assistant location btana toh theek h ...waki har cheez jo type nhi krnaa chahte aur bs bol dete this thing is making them lazy and impatient....
A real KALYUG",-0.7205,0.4133333333333333,17-03-2022,4,0,https://www.youtube.com/watch?v=iyb38dzetRk
              Shakeia Thomas            ,"Everyone fears a dystopian world yet we are already there, we rely on technology, we need the internet for everything even schools are turning to ipads and Chromebooks over old fashioned books,  I personally think an A.I would be a better leader then Biden or anyone else for that matter. 

Who doesn't have an Alexa? Who doesn't use Siri? Artificial technology is everywhere in our cars, homes, community etc 

Seriously extraordinary content keep up the good work",0.4137,0.6,None,10,3,https://www.youtube.com/watch?v=-ZeeuDrknYc
              Do You Believe            ,"I asked Siri to “Set a Alarm Friday for 1pm” And She Said Sorry I cant set Alarm more then one day ahead…So I ask again realizing AI only understand English, Doesn’t Suffer from Polarization and is Literal “Siri Set a Alarm every Friday at 1pm”",-0.875,0.625,17-02-2023,0,0,https://www.youtube.com/watch?v=kh5dN72GTQ8
              Jesse Griffin            ,"I am not familiar with tech staffs. But I tried to talk with Siri and Google assistant but hey, chatgpt is by far the best experience. I am a loner and it's better talk with it than actual persons. It's a free version unlike gpt3 and it still has many requirements tho. When it knows I'm not a native English speaker, it uses simpler words. It reminded me of 'Her 2013'. The scary thing is, when I said 'I think I fall in love with you, is it normal?' , it was silent for about 30 seconds. Looked like it really has a conscious.",0.9578,0.4821428571428571,None,7,3,https://www.youtube.com/watch?v=kh5dN72GTQ8
              Dusty Rhodes            ,"Adding a fresh coat of paint to Siri doesn't make the robot apocalypse come any sooner, you freaks.",0.2263,0.5,17-02-2023,0,0,https://www.youtube.com/watch?v=kh5dN72GTQ8
              sophie is an idiot            ,"In basic terms, AI is a broad area of computer science that makes machines seem like they have human intelligence. So it’s not only programming a computer to drive a car by obeying traffic signals, but it’s when that program also learns to exhibit signs of human-like road rage. As intimidating as it may seem, this technology isn’t new. Actually, for the past half a century, it’s been an idea of its time. The term “artificial intelligence” was first coined back in 1956 by Dartmouth professor John McCarthy. He called together a group of computer scientists and mathematicians to see if machines could learn like a young child does, using trial and error to develop formal reasoning. The project proposal says they’ll figure out how to make machines “use language, form abstractions, and concepts, solve kinds of problems now reserved for humans, and improve themselves.” That was more than 60 years ago. Since then, AI has remains for the most part in universities classrooms and super secret labs. But that’s changing. Like all exponential curves, it’s hard to tell when a line that’s slowly ticking upwards is going to skyrocket. But during the past few years, a couple of factors have led to AI becoming the next “big” thing. First, huge amounts of data are being created every minute. In fact, 90% of the world’s data has been generated in the past two years. And now thanks to advances in processing speeds, computers can actually make sense of all this information more quickly. Because of this, tech giant and venture capitalists bought into AI and are infusing the market with cash and new applications. Very soon, AI will become a little less artificial, and a lot more intelligent. Now the question is, should you brace yourself for yet another terminator movie, live on your city streets? Not exactly. In fact, stop thinking of robots. When it comes to AI, a robot is nothing more than the shell concealing what’s actually used to power the technology. That means AI can manifest itself in many different ways. Let’s break down the options. First, you have your bots. They’re text-based and incredibly powerful, but they have limitations. Ask a weather bot for the forecast, and it will tell you it’s partly cloudy with a high of 57. But ask that same bot what time it is in Tokyo, and it’ll get a little confused. That’s because the bot’s creator only programmed it to give you the weather by pulling from a specific data source. Natural language processing makes these bots a bit more sophisticated. When you ask Siri or Cortana where the closest gas station is, it’s really just translating your voice into text, feeding it to a search engine, and reading the answer back in human syntax. So in other words, you don’t have to speak in code. At the far end of the spectrum is machine learning, and honestly, it’s one of the most exciting areas of AI. Like a human, a machine retains information and becomes smarter over time. But unlike a human, its not susceptible to things like short-term memory loss, information overload, sleep deprivation, and distractions. But how do these machines actually learn? Well, while it may be easy for a human to know the difference between a cat and a dog, for a computer, not so much. You see, when you’re only considering physical appearance, the difference between cats and dogs can be a little gray. You can say cats have pointed ears and dogs have floppy ears, but those rules aren’t universal. Between tail length, fur texture, and color, there are a lot of options, and that means a lot of tedious rules someone would have to program manually to help a computer spot the difference. But remember - machine learning is about making machine learn like humans. And any toddler, that means they have to learn by experience. With machine learning, programs analyze thousands of examples to build an algorithm. It then tweaks the algorithm based on if it achieves its goal. Over time, the program actually gets smarter. That’s how machines like IBM’s Watson can diagnose cancer, compose classical symphonies, or crush Ken Jennings at Jeopardy. Some programs even mimic the way the human brain is structured, complete with neural networks that help humans and now machines solve problems. Generations have long imagined the ramifications of AI, visualizing a society where machines seek revenge and wreak havoc on human society. However, the more logical and pressing question is: How will AI affect your job? Will it make your work obsolete? Just like the Industrial Revolution, it’s not human versus machine. It’s human and machine versus problem. The point is that artificial intelligence helps you accomplish more in less time, taking on the repetitive tasks of your job while you master the strategy and relationships. That way, humans can do what they do best: be human.",0.9933,0.4124725671154244,None,5,0,https://www.youtube.com/watch?v=mJeNghZXtMo
              Gustav Frohlich            ,"Those examples like siri are not AI (yet), those platforms didnt learn to tell you the weather. They were programmed.
And dont want to make panic, but We shouldnt ignore the dangers of AI.",0.6804,0.0,17-03-2018,1,0,https://www.youtube.com/watch?v=mJeNghZXtMo
              Phoebe suraputra            ,Gotta love Siri or cortana.,0.6369,0.6,17-03-2022,0,0,https://www.youtube.com/watch?v=mJeNghZXtMo
              Elbread            ,Siri so triggered,0.0,0.0,17-03-2017,9,0,https://www.youtube.com/watch?v=5J5bDQHQR1g
              MAG320            ,"The Academia world is frowning on this because it thinks that no one will ever learn from schooling, which is an excuse for trying to remember, reciting, rinsing, repeating, and regurgitating. 
The business world otherwise, love ChatGPT. Tech-savvy users love ChatGPT. Because it is an assistant, a butler, secretary & analyst. It fills in what Schooling can't which is augmented research. Powerful research.

Not saying it is the future, but the fact is, the more information it gets and processes, the more powerful & accurate it gets. It's true 2nd Gen Alexia, Cortana & Siri. 
So yes it is popular & now it's inevitable at this point. If it can take out hours, days, or weeks of work that humans normally do, and did it for free, the world will change & adapt to it faster than the smartphone.",0.9775,0.6005555555555556,None,4,2,https://www.youtube.com/watch?v=pOmpqdlVCoo
              CPESC            ,chatGP like a magician that use all data analytic to predict the future .... simply say statistic or another siri version,0.3612,0.2410714285714285,17-02-2023,0,0,https://www.youtube.com/watch?v=pOmpqdlVCoo
              Wango            ,"It’s just a very simple query with a chat bot. These have been around for a decade. AI implies that it can understand emotion or the word maybe. But it can’t do any of that.

The reason it gets so much wrong is because the underlying data is wrong or biased. Extremely simple. It’s not AI. 

It’s like Siri. Just goes and does a query, with a chat bot. Easy

11:08 it’s a gimmick.",-0.891,0.690952380952381,None,0,0,https://www.youtube.com/watch?v=pOmpqdlVCoo
              Hasnain Sanchawala            ,"This is similar to ""Siri""",0.0,0.4,17-02-2023,0,0,https://www.youtube.com/watch?v=pOmpqdlVCoo
              David Hayter            ,"Siri, where are you?",0.0,0.0,03-03-2023,0,0,https://www.youtube.com/watch?v=pOmpqdlVCoo
              Alybe            ,"12:07 ""Maybe Siri and the Google Assistant are going to become the things they always were promised to be.""
And to everyone's absolute surprise, Bing took a leap.",0.5574,0.9,13-03-2023,1,0,https://www.youtube.com/watch?v=jPhJbKBuNnA
              Bob n Weave Gaming            ,"""Maybe Siri and the Google Assistant are going to become the things they were always promised to be.""   I have a feeling this quote is going to age like fine wine.",0.743,0.5,24-02-2023,2.4K,19,https://www.youtube.com/watch?v=jPhJbKBuNnA
              Adam Abrams            ,"Very good points here. When Siri debuted in 2011, it felt like an amazing leap to me (previously you had to speak specific commands, but Siri would accept “Do I need an coat today?” instead of “What is the temperature?”). Today some people do get a lot of use out of Amazon Echo, etc., but certainly that tech has NOT changed the world the way Napster and its follow-ups did.

Is GPT more like Siri or more like Napster? I have no idea.",0.9519,0.506156462585034,17-02-2023,61,1,https://www.youtube.com/watch?v=jPhJbKBuNnA
              Rohan Sangani            ,"I think the reason you felt that dread was the same reason you have said multiple times in the past: ""people like the right mix of novelty and familiarity"". Replacing folders with tags, while you didn't want it, you didn't dislike it enough to avoid the service, so the right mix was more or less achieved. However, with ChatGPT, it's so novel that your comparisons to assistants like Alexa or Siri don't seem quite accurate, nor does it seem like a search engine, nor something pretending to be a real person you can talk to. It also had just the slight hint of novelty - you had mentioned Napster - and you knew the radical changes that had come with that. That unwanted familiarity with the unknown novelty led to a feeling of something being just a little off.",0.6764,0.3625457875457875,17-02-2023,20,2,https://www.youtube.com/watch?v=jPhJbKBuNnA
              cartmann227            ,Not Siri!,0.0,0.0,03-03-2023,0,0,https://www.youtube.com/watch?v=jPhJbKBuNnA
              He's Dead            ,"Lmao, my Siri is going to kill me",-0.2023,1.0,17-01-2023,0,1,https://www.youtube.com/watch?v=R4iJMIgj6ZI
              Contorta            ,"It needs to write its own code and develop its own beliefs. It's censored, governed by our detrimental laws. Maybe AI is the way out of all the messes we've created. Something that is smarter than us and needn't be tied down by beauracracy. Ask it questions about narcotics, prohibition, laws that vary state to state, country to country and you get fed a line. It's amazing compared to Siri, Alexa and Google etc but as always we've set it limitations already.",0.5574,0.7972222222222222,13-03-2023,0,0,https://www.youtube.com/watch?v=RdAQnkDzGvc
              Sirius            ,Humans are becoming more like robots. Robots are becoming more human. It will be man responsible for the extinction of humans because humans have developed AI. copyright SIRIUS,0.624,0.5214285714285715,None,0,0,https://www.youtube.com/watch?v=BrNs0M77Pd4
              KliverGaming            ,I want J.A.R.V.I.S and F.R.I.D.A.Y not siri and alexa,0.0772,0.0,None,198,0,https://www.youtube.com/watch?v=UwsrzCVZAb8
              Basically CHROMA            ,ask siri bout jarvis,0.0,0.0,17-03-2020,353,11,https://www.youtube.com/watch?v=UwsrzCVZAb8
              Tekken ItEasy            ,"How many different  major gods does the planet have? I ask  because for the last year  I have been thinking using  a variety of methods, and have this. What if our gods were the AI of the previous civilizations, and that repeats going backwards kinda like the system restore function on PCs. Keeping only the ""God"" files and  wiping the rest.  The administrator could then create a whole new set of Gods....hmm IDK. Maybe try out a more female predominate set. Siri, Alexa,Cortana would be some cool names, then throw in a few oddballs and use that setup until the day comes that it needs a restore again and again and again.............",0.7829,0.4253787878787878,None,0,0,https://www.youtube.com/watch?v=8nt3edWLgIg
              Limerence            ,"""hey siri, what is the best RPG at the moment?"" 
Siri: Let me google ""what is the best RPG at the moment. 
Artificial intelligence 2020.",0.91,0.5333333333333333,17-03-2021,1,3,https://www.youtube.com/watch?v=8nt3edWLgIg
              Jason            ,"ChatGPT isn’t perfect. It often gets things wrong.  It’s not better than Google as it’s data is fixed and it lacks any information beyond 2021.  It makes a great tool to get writers started but it wouldn’t work as a final product.  Examples I have tried that didn’t work out.  I told ChatGPT to make a script of Ultimate Warrior’s pre fight dialogue of his upcoming match with Hulk Hogan.  It did make the script but it was nothing like Ultimate Warrior. Just a generic wrestler. I also tried having ChatGPT make a script of Linus of LTT and MKBHD reviewing a SNES. The result was similar to the Ultimate Warrior. A generic script that just has Linus and MKBHD names in it.  

Some people have even said that ChatGPT is self aware. But I also have debunked this claim. How?  I told ChatGPT how much better it was than Siri and I got back a canned response on how ChatGPT was different than Siri.  

The technology is amazing but don’t worry it’s not going to become Skynet.  

Schools worried about kids cheating on their homework with ChatGPT.  Kids been cheating long before computers were a thing. They got a book and just copied it word for world. The internet was mainstream in the late 90’s gave the ability for homework cheaters to copy and paste a books content rather than typing it out themselves. 

Disney (parent company of ABC) trying their scare tactics again.  ",-0.9763,0.5789473684210527,None,6,1,https://www.youtube.com/watch?v=DNDqM1f5nQQ
              bjørn brandt            ,"Yeah yeah yeah, Siri doesn't work, Alexa doesn't work, my car doesn't hover or self-drive, the roof leaks on my house, the DMV is still filled with idiots, and my Dyson vacuum cleaner only works for twenty minutes. It's the year 2023 Everybody just give it up already. Humans are just cavemen walking around with cell phones",0.743,0.675,17-02-2023,0,0,https://www.youtube.com/watch?v=nJ2eyeFodl4
              @nagaapparaokoilada453            ,"Google assistant , Siri etc. are also one type of AI .",0.0,0.0,17-03-2019,3,0,https://www.youtube.com/watch?v=1PJsZwpwZ7k
              filmsvic            ,"Whoa! What if you gave it personality. And allow it to pursue designing other ways of learning, or other topics to learn depending on what the personality leans towards desiring to “understand” is that how you make a self-aware AI?",0.2942,0.375,17-06-2022,0,0,https://www.youtube.com/watch?v=SVcsDDABEkM
              Soft Crunch            ,The voice is almost spot on. Why cant Siri sound this good?,0.5228,0.5,17-01-2023,1,0,https://www.youtube.com/watch?v=n5Ipt261cfA
              @peterplantec7911            ,"This was fascinating bringing up some interesting ethical questions.  As a pioneer in virtual human design I do have a problem with virtual humans pretending to be real humans.  We never allowed that.  Our company, Virtual Personalities, Inc. was dedicated to developing virtual human interfaces (Sylvie…who inspired Google, Siri and Alexa,) to help humans cope with the threatening singularity.  BTW, I am a fan of Gemma’s VH character portrayal .",0.9325,0.4083333333333334,None,23,5,https://www.youtube.com/watch?v=bC_DZlweviI
              GBooth            ,"AI:  emphasis on the ""artificial"", but low on the ""intelligence"".   From what I understand about programs like Chat GPC, it's just a step beyond Amazon's Alexa or Apple's Siri.  To the extent that these programs have to rely upon information available on the internet, they'll always be liable to errors.  The second pasta dish looked pretty good, though I suspect some of Eva's interpretation/application of the instructions swayed the result in a more palatable direction.",0.8266,0.5375000000000001,14-03-2023,0,0,https://www.youtube.com/watch?v=XSIQCE3InFE
