Username,Date,Post,Post sentiment,Post subjectivity,Comments,Reactions,Reposts
Garal Das,10-03-2023,"https://lnkd.in/diPBzP9Y)""#DROP#EVERYTHINGand#FOCUS#ENTIRELYon#AI""ai in#AI: AI in#Chip#Designing: AI in#Coding& MOREhttps://lnkd.in/dcQvaWFX) :https://lnkd.in/dW8NEb6d) :https://lnkd.in/dmjCSVPC) :https://lnkd.in/eww96k2w)https://lnkd.in/dmjCSVPC) :https://lnkd.in/d5sgRP2Z)#Learning#Aihttps://lnkd.in/dcQvaWFX)#AIin#Coding9 WAYS to use CHATGPT : for those who write#Code:& MOREhttps://lnkd.in/dB5qQh-k)2.10min : Github#Copilot& Andrej Karpathy (80% ProductivityImprovement in Coding)]Github#Copilot:https://lnkd.in/dVfDipYn""#Languageis the new#UI""https://www.moveworks.com/https://lnkd.in/driKSUn2)Varun SinghFounder and Vice President, Product at Moveworks""#Watsonwon#Jeopardy, so how come it didn't get us a great chatbot before#ChatGPT? A lesson for#Tech#Leaders.""https://lnkd.in/dU_TnjyQ) : 03/03/2023#Understanding#ChatGPT&#Howit#Works. : Easy & Simple Way:https://lnkd.in/dv7rBmsP:#NeuralNetworks#Hate#Text:https://lnkd.in/deXPciXE)Here is how#ChatGPT#Builtmy#Code: 16pgs PDF :Source :#SantiagoValdarrama :https://lnkd.in/dEKxJQ-qhttps://lnkd.in/dQniMctb) : Feb 11, 2023#FreeCourse :#MIT:Introduction to#DataCentric#AI::https://lnkd.in/dRGUYGeg: Video :https://lnkd.in/dj9vn9DB:https://lnkd.in/dekbH5xx) : 17/02/2023 :""#Understanding#DeepLearning""BYSimon J.D. Prince518pgs PDF :https://lnkd.in/dt8mFtgB:https://lnkd.in/dtHcw7w2[https://lnkd.in/dvMFTzzX)Let's#Build#GPT: from#Scratch, in Code, Spelled out.The Famous#AndrejKarpathy: Ex#Tesla#AutoPilot: Jan 17, 2023Always makes ""Complex Things look Very Simple"".https://lnkd.in/dbYZv9Ap: 42min. :#AndrejKarpathy- Full Self-Driving Autopilot -""PHD from STANFORD is not IMPORTANT"" : Elon MuskTesla Autonomy Day 2019 / AI DAY 2021 / 2022https://lnkd.in/dyaupEaz:https://lnkd.in/diurZi-7:https://lnkd.in/dcATkesb]https://lnkd.in/dVZRz87Y) : 28/12/2022Cramming:#Traininga#Language#Modelon a#Single#GPUin#OneDaySource :https://lnkd.in/dBFsAXDn:https://lnkd.in/dU-FyJba[https://lnkd.in/d5sgRP2Z)#Democratising#AI: EXCEPTIONAL INTERVIEW for Anyone Interested in#AIor#AGI. : ......#EmadMostaque: the Legend behind#StableDiffusion:https://lnkd.in/dbdzrr4m: Dec 2, 2022IT APPEARS LIKE A BENCHMARK TO JUDGE OTHERS IN THE FIELD OF AI.]https://lnkd.in/dSPCPfs830 ways to use ChatGPT for Finance",0.5275,0.6505291005291006,0,18,0
Garal Das,10-03-2023,"https://lnkd.in/diPBzP9Y)""#DROP#EVERYTHINGand#FOCUS#ENTIRELYon#AI""ai in#AI: AI in#Chip#Designing: AI in#Coding& MOREhttps://lnkd.in/dcQvaWFX) :https://lnkd.in/dW8NEb6d) :https://lnkd.in/dmjCSVPC) :https://lnkd.in/eww96k2w)https://lnkd.in/dmjCSVPC) :https://lnkd.in/d5sgRP2Z)#Learning#Aihttps://lnkd.in/dcQvaWFX)#AIin#Coding9 WAYS to use CHATGPT : for those who write#Code:& MOREhttps://lnkd.in/dB5qQh-k)2.10min : Github#Copilot& Andrej Karpathy (80% ProductivityImprovement in Coding)]Github#Copilot:https://lnkd.in/dVfDipYn""#Languageis the new#UI""https://www.moveworks.com/https://lnkd.in/driKSUn2)Varun SinghFounder and Vice President, Product at Moveworks""#Watsonwon#Jeopardy, so how come it didn't get us a great chatbot before#ChatGPT? A lesson for#Tech#Leaders.""https://lnkd.in/dU_TnjyQ) : 03/03/2023#Understanding#ChatGPT&#Howit#Works. : Easy & Simple Way:https://lnkd.in/dv7rBmsP:#NeuralNetworks#Hate#Text:https://lnkd.in/deXPciXE)Here is how#ChatGPT#Builtmy#Code: 16pgs PDF :Source :#SantiagoValdarrama :https://lnkd.in/dEKxJQ-qhttps://lnkd.in/dQniMctb) : Feb 11, 2023#FreeCourse :#MIT:Introduction to#DataCentric#AI::https://lnkd.in/dRGUYGeg: Video :https://lnkd.in/dj9vn9DB:https://lnkd.in/dekbH5xx) : 17/02/2023 :""#Understanding#DeepLearning""BYSimon J.D. Prince518pgs PDF :https://lnkd.in/dt8mFtgB:https://lnkd.in/dtHcw7w2[https://lnkd.in/dvMFTzzX)Let's#Build#GPT: from#Scratch, in Code, Spelled out.The Famous#AndrejKarpathy: Ex#Tesla#AutoPilot: Jan 17, 2023Always makes ""Complex Things look Very Simple"".https://lnkd.in/dbYZv9Ap: 42min. :#AndrejKarpathy- Full Self-Driving Autopilot -""PHD from STANFORD is not IMPORTANT"" : Elon MuskTesla Autonomy Day 2019 / AI DAY 2021 / 2022https://lnkd.in/dyaupEaz:https://lnkd.in/diurZi-7:https://lnkd.in/dcATkesb]https://lnkd.in/dVZRz87Y) : 28/12/2022Cramming:#Traininga#Language#Modelon a#Single#GPUin#OneDaySource :https://lnkd.in/dBFsAXDn:https://lnkd.in/dU-FyJba[https://lnkd.in/d5sgRP2Z)#Democratising#AI: EXCEPTIONAL INTERVIEW for Anyone Interested in#AIor#AGI. : ......#EmadMostaque: the Legend behind#StableDiffusion:https://lnkd.in/dbdzrr4m: Dec 2, 2022IT APPEARS LIKE A BENCHMARK TO JUDGE OTHERS IN THE FIELD OF AI.]https://lnkd.in/dSPCPfs830 ways to use ChatGPT for Finance",0.5275,0.6505291005291006,0,1,0
Garal Das,10-03-2023,"https://lnkd.in/diPBzP9Y)""#DROP#EVERYTHINGand#FOCUS#ENTIRELYon#AI""ai in#AI: AI in#Chip#Designing: AI in#Coding& MOREhttps://lnkd.in/dcQvaWFX) :https://lnkd.in/dW8NEb6d) :https://lnkd.in/dmjCSVPC) :https://lnkd.in/eww96k2w)https://lnkd.in/dmjCSVPC) :https://lnkd.in/d5sgRP2Z)#Learning#Aihttps://lnkd.in/dcQvaWFX)#AIin#Coding9 WAYS to use CHATGPT : for those who write#Code:& MOREhttps://lnkd.in/dB5qQh-k)2.10min : Github#Copilot& Andrej Karpathy (80% ProductivityImprovement in Coding)]Github#Copilot:https://lnkd.in/dVfDipYn""#Languageis the new#UI""https://www.moveworks.com/https://lnkd.in/driKSUn2)Varun SinghFounder and Vice President, Product at Moveworks""#Watsonwon#Jeopardy, so how come it didn't get us a great chatbot before#ChatGPT? A lesson for#Tech#Leaders.""https://lnkd.in/dU_TnjyQ) : 03/03/2023#Understanding#ChatGPT&#Howit#Works. : Easy & Simple Way:https://lnkd.in/dv7rBmsP:#NeuralNetworks#Hate#Text:https://lnkd.in/deXPciXE)Here is how#ChatGPT#Builtmy#Code: 16pgs PDF :Source :#SantiagoValdarrama :https://lnkd.in/dEKxJQ-qhttps://lnkd.in/dQniMctb) : Feb 11, 2023#FreeCourse :#MIT:Introduction to#DataCentric#AI::https://lnkd.in/dRGUYGeg: Video :https://lnkd.in/dj9vn9DB:https://lnkd.in/dekbH5xx) : 17/02/2023 :""#Understanding#DeepLearning""BYSimon J.D. Prince518pgs PDF :https://lnkd.in/dt8mFtgB:https://lnkd.in/dtHcw7w2[https://lnkd.in/dvMFTzzX)Let's#Build#GPT: from#Scratch, in Code, Spelled out.The Famous#AndrejKarpathy: Ex#Tesla#AutoPilot: Jan 17, 2023Always makes ""Complex Things look Very Simple"".https://lnkd.in/dbYZv9Ap: 42min. :#AndrejKarpathy- Full Self-Driving Autopilot -""PHD from STANFORD is not IMPORTANT"" : Elon MuskTesla Autonomy Day 2019 / AI DAY 2021 / 2022https://lnkd.in/dyaupEaz:https://lnkd.in/diurZi-7:https://lnkd.in/dcATkesb]https://lnkd.in/dVZRz87Y) : 28/12/2022Cramming:#Traininga#Language#Modelon a#Single#GPUin#OneDaySource :https://lnkd.in/dBFsAXDn:https://lnkd.in/dU-FyJba[https://lnkd.in/d5sgRP2Z)#Democratising#AI: EXCEPTIONAL INTERVIEW for Anyone Interested in#AIor#AGI. : ......#EmadMostaque: the Legend behind#StableDiffusion:https://lnkd.in/dbdzrr4m: Dec 2, 2022IT APPEARS LIKE A BENCHMARK TO JUDGE OTHERS IN THE FIELD OF AI.]https://lnkd.in/dCR-hsmk)#30waysto use#ChatGPTfor#Financehttps://lnkd.in/dSPCPfs8",0.5275,0.6505291005291006,1 ,10,0
Asif Haider,08-03-2023,"🎉 Attention Military Veterans and Family Members! 🎉Are you interested in a career in AI Machine Learning? 🤖💻Join us on Wednesday, March 8th at 11am CST for a free webinar titled""So you want a career in AI Machine Learning? and affiliated with the military? "" 📅The world of AI and machine learning is expanding at an unprecedented rate, and these technologies are being utilized in various industries, such as healthcare, finance, and transportation. 🚀This webinar is designed to provide valuable insights and resources for military veterans and their family members who are interested in transitioning to a career in this exciting field. 💡We are thrilled to haveMelody Gratic, M.Ed, CDP®, CEO/Founder of XcelMil, LLC, as our guest for the upcoming webinar. Melody is a highly accomplishedveteran,executive coach,facilitator,keynote speaker,and trainerwith a passion for servant leadership.As the CEO and Founder of XcelMil, LLC, Melody and her team provideleadership consulting,training,and coaching servicesto government, corporate, and nonprofit decision-makers to help them develop high-performing teams.Melody is committed to delivering exceptional, value-based, and relevant services to stakeholders and partners, helping clients achieve their strategic and tactical goals with excellence and a people-centric focus.We are excited to have Melody join us for the webinar to share her expertise and insights on how military veterans and their family members can transition to careers in AI and machine learning.We will discuss the most recent popular use cases of machine learning, including:speech recognition,computer vision,and natural language processing. 🎤👀🗣️Don't miss out on this opportunity to learn how you can make the transition and succeed in the world of AI and machine learning. We look forward to seeing you there! 🙌Some popular use cases that are well down:🗣️ Amazon Alexa (Amazon)📱 Google Assistant (Google)🍎 Siri (Apple)🚘 Tesla Autopilot (Tesla)🎬 Netflix recommendation system (Netflix)🎧 Spotify recommendation system (Spotify)💻 IBM Watson (IBM)📊 Salesforce Einstein (Salesforce)💻 Microsoft Azure Machine Learning (Microsoft)🖥️ NVIDIA TensorRT (NVIDIA)",0.9951,0.5336363636363637,18 ,6,8 
Ahmed Hossny,08-03-2023,"top 5 advanced ai systemsArtificial Intelligence (AI) is a rapidly evolving field that has seen remarkable advancements in recent years. There are several advanced AI systems that have emerged, each with unique capabilities and applications. In this essay, we will explore some of the top advanced AI systems in 2023, including GPT-3 (OpenAI), AlphaGo (Google DeepMind), Watson (IBM), Sophia, and Tesla Autopilot.",0.9231,0.5333333333333333,0,0,0
Hamdi Achref,01-03-2023,"""Artificial Intelligence""#aiis revolutionizing industries and changing the way we live our lives. But not all AI is created equal. There are three types of AI, each with their own unique capabilities and limitations:1- ANI: This type of AI is designed to respond to a set of rules or stimuli and cannot learn new tasks without being reprogrammed. ANI is the most common form of AI and is found in many everyday applications such as#Siri#AmazonFraud Detector#NestHello2- AGI: This type is a more advanced form of AI that can perform any intellectual task that a human can. It has the ability to reason, understand complex ideas, and learn from experience. AGI is still mostly theoretical, but there are some potential applications such as#TeslaAutopilot#IBMWatson Health#BostonDynamics Atlas3- ASI: ASI is the most advanced and powerful form of AI, surpassing human intelligence in every way. It has the potential to solve some of the world's most complex problems, but also carries the risk of unpredictable consequences if not properly managed. Some potential applications of ASI include#Folding@home#Geoengineering#NASAMars RoversWhether it's automating routine tasks, improving healthcare, or addressing some of society's biggest challenges,AI has the potential to transform the world we live in.",0.9729,0.5840175953079177,1 ,13,1 
"YM Innovation Technolgy (Shenzhen)Co.,Ltd",01-03-2023,"What companies are masters at integrating AI/ML into their operations?1, Google: Google has been using AI/ML in various applications for years, including search, image recognition, natural language processing, and more. Google has also developed a number of open-source machine learning frameworks and tools such as TensorFlow and Keras, which are widely used by developers.2, Amazon: Amazon has been a leader in using AI/ML to optimize its operations, including its logistics and supply chain. It uses AI/ML algorithms to forecast demand, optimize delivery routes, and manage inventory.3, IBM: IBM has been investing in AI/ML for decades, and its Watson platform is one of the most advanced AI platforms available today. IBM has also developed a number of AI-powered products and services, including chatbots, virtual assistants, and machine learning tools.4, Microsoft: Microsoft has been using AI/ML in a variety of ways, including image and speech recognition, natural language processing, and predictive analytics. It has also developed a number of machine learning tools, including the Azure Machine Learning platform.5, Tesla: Tesla uses AI/ML in its self-driving cars to detect objects, predict pedestrian movement, and more. Tesla's Autopilot system is one of the most advanced AI-powered systems in the automotive industry.6, Netflix: Netflix uses AI/ML algorithms to personalize the user experience, recommending movies and TV shows based on users' viewing histories and preferences. The company also uses AI/ML to optimize video encoding and improve streaming quality.7, Uber: Uber uses AI/ML to optimize its ride-sharing service, including pricing, route optimization, and driver allocation. The company also uses machine learning to detect fraud and improve safety.8, Airbnb: Airbnb uses AI/ML to optimize its search results and make personalized recommendations to users. The company also uses machine learning to detect fraud and improve security.9, Alibaba: Alibaba, the Chinese e-commerce giant, uses AI/ML to improve its logistics and supply chain operations. The company also uses machine learning to personalize the user experience and improve search results.10, Intel: Intel uses AI/ML to optimize its chip design and manufacturing processes. The company also develops machine learning tools and technologies for use in a variety of industries.11, Salesforce12, Twitter13, NVIDIA14, Adobe15,JD.com16, Baidu...#manufacturing#supplychain#AI#semiconductors#CPU#GPU#OpenAI#ChatGPT#",0.9892,0.4529411764705882,0,0,0
Paul Jones,01-03-2023,"COMPUTER VISION | who uses computer vision ?コンピュータ ビジョンを使用するのは誰ですか ?GOOGLE | uses computer vision for image and facial recognition in Google Photos and Google Lens.AMAZON | uses computer vision in its checkout-free stores, Amazon Go, and in its facial recognition software, Rekognition.MICROSOFT | uses computer vision in its HoloLens mixed reality headset, as well as in its Seeing AI app for visually impaired individuals.TESLA | uses computer vision for its Autopilot self-driving technology.FACEBOOK | uses computer vision for facial recognition in its photo tagging feature, as well as in its augmented reality effects.APPLE | uses computer vision in its Face ID feature for unlocking iPhones, and in its augmented reality capabilities.NVIDIA | provides computer vision technology for a variety of industries, including healthcare, autonomous vehicles, and robotics.IBM | uses computer vision for its Watson Visual Recognition service, which can classify images and recognize objects within them.WAYNO | uses computer vision for its self-driving cars, which rely on cameras and sensors to navigate the roads.MAGIC LEAP | uses computer vision in its mixed reality headset, which maps the physical environment and overlays digital objects onto it.#technology#ai#digital#environment#healthcare#software#google#facebook#microsoft#amazon#robotics#augmentedreality#cars#tesla#computervision",0.9719,0.1342857142857142,0,9,1 
Letícia Tainara Souza,15-03-2023,"Hey, LinkedIners! Analisando as plataformas digitais, comportamento do consumidor, histórico de tendências e evoluções, aqui vão algumas das tendências de marketing para 2023:🤳🏻 Marketing de influência: o marketing de influência chegou pra ficar e continuará a crescer! Com mais marcas colaborando com influenciadores e criadores de conteúdo para alcançar públicos específicos (Ó a base da Virginia aí, gente! Ela vendeu 150 mil unidades em um fim de semana mesmo com os haters).🎁 Personalização: os consumidores continuam desejando uma experiência personalizada e relevante, e as empresas estão investindo cada vez mais em tecnologia e estratégias para atender a essa demanda.📼 Vídeo marketing: o vídeo continua sendo uma das formas mais populares e eficazes de marketing, e as empresas devem continuar a investir em produção de vídeo de alta qualidade para atrair e engajar os consumidores (Quer engajar? Então investe nisso. A era dos estáticos morreu).🔊 Voice marketing: com o crescente uso de assistentes virtuais como Siri, Alexa e Google Assistant, muitas empresas e marcas estão começando a adotar estratégias de marketing por voz para se comunicar com os consumidores de maneira mais eficaz (aqui entra a personalização também).📩 Marketing de conteúdo: este continuará a desempenhando um papel importante na construção de marcas e no envolvimento com os consumidores. As empresas precisarão investir em conteúdo de alta qualidade e em estratégias de distribuição para se destacar em um mercado cada vez mais competitivo.🎯 Marketing omnichannel: os consumidores esperam uma experiência perfeita e consistente em todos os canais de marketing, e as empresas precisam se adaptar a essa demanda, criando estratégias de marketing omnichannel integradas. O seu consumidor está em todos os canais e é inteligente pensar em estratégias adaptadas em cada um deles.🎲 Marketing baseado em dados: as empresas estão cada vez mais usando dados para entender e se comunicar com os consumidores de maneira mais eficaz. As empresas devem continuar a investir em tecnologia e estratégias de análise de dados para obter insights mais precisos e informados sobre seus clientes (segura os prints).🤖BÔNUS TRACK: Uso de AI em estratégias e materiais publicitários também é algo que não tem volta - e que bom! Se você é um profissional da área, sugiro começar a integrar programas como MidJourney, ChatGpt, IBM Watson, Salesforce Einstein, Amazon Rekognition, DeepCrawl, Wibbitz e entre outros nas suas campanhas, estratégias e tomadas de decisão. Pois como diz a famosa música de fim de ano de uma emissora de TV por aí, ""hoje é um novo dia, de um novo tempo que começou. Todos os nossos sonhos, serão verdade e o futuro já começou"".#marketing#tecnologia#amazon#empresas#salesforce#marketingsensorial#marketing2023#marketingderelacionamento",-0.3956,1.0,3 ,5,0
Letícia Tainara Souza,15-03-2023,"Hey, LinkedIners! Analisando as plataformas digitais, comportamento do consumidor, histórico de tendências e evoluções, aqui vão algumas das tendências de marketing para 2023:🤳🏻 Marketing de influência: o marketing de influência chegou pra ficar e continuará a crescer! Com mais marcas colaborando com influenciadores e criadores de conteúdo para alcançar públicos específicos (Ó a base da Virginia aí, gente! Ela vendeu 150 mil unidades em um fim de semana mesmo com os haters).🎁 Personalização: os consumidores continuam desejando uma experiência personalizada e relevante, e as empresas estão investindo cada vez mais em tecnologia e estratégias para atender a essa demanda.📼 Vídeo marketing: o vídeo continua sendo uma das formas mais populares e eficazes de marketing, e as empresas devem continuar a investir em produção de vídeo de alta qualidade para atrair e engajar os consumidores (Quer engajar? Então investe nisso. A era dos estáticos morreu).🔊 Voice marketing: com o crescente uso de assistentes virtuais como Siri, Alexa e Google Assistant, muitas empresas e marcas estão começando a adotar estratégias de marketing por voz para se comunicar com os consumidores de maneira mais eficaz (aqui entra a personalização também).📩 Marketing de conteúdo: este continuará a desempenhando um papel importante na construção de marcas e no envolvimento com os consumidores. As empresas precisarão investir em conteúdo de alta qualidade e em estratégias de distribuição para se destacar em um mercado cada vez mais competitivo.🎯 Marketing omnichannel: os consumidores esperam uma experiência perfeita e consistente em todos os canais de marketing, e as empresas precisam se adaptar a essa demanda, criando estratégias de marketing omnichannel integradas. O seu consumidor está em todos os canais e é inteligente pensar em estratégias adaptadas em cada um deles.🎲 Marketing baseado em dados: as empresas estão cada vez mais usando dados para entender e se comunicar com os consumidores de maneira mais eficaz. As empresas devem continuar a investir em tecnologia e estratégias de análise de dados para obter insights mais precisos e informados sobre seus clientes (segura os prints).🤖BÔNUS TRACK: Uso de AI em estratégias e materiais publicitários também é algo que não tem volta - e que bom! Se você é um profissional da área, sugiro começar a integrar programas como MidJourney, ChatGpt, IBM Watson, Salesforce Einstein, Amazon Rekognition, DeepCrawl, Wibbitz e entre outros nas suas campanhas, estratégias e tomadas de decisão. Pois como diz a famosa música de fim de ano de uma emissora de TV por aí, ""hoje é um novo dia, de um novo tempo que começou. Todos os nossos sonhos, serão verdade e o futuro já começou"".#marketing#tecnologia#amazon#empresas#salesforce#marketingsensorial#marketing2023#marketingderelacionamento",-0.3956,1.0,3 ,5,0
