Username,Comment,Comment sentiment,Comment subjectivity,Date,Likes,Replies,Link
              Travis Bartow            ,“Emma Watson is an interesting person” is proof AI has a little way to go.,0.4019,0.5,17-09-2022,945,75,https://www.youtube.com/watch?v=b2bdGEqPmCI
              Jesus911            ,Even a robot is woke.  Emma Watson?  ,0.0,0.0,None,0,0,https://www.youtube.com/watch?v=b2bdGEqPmCI
              Harmen Westerhof            ,1:07  Emma Watson  x  Harley Quinn  ?!,0.0,0.0,17-02-2023,0,0,https://www.youtube.com/watch?v=b2bdGEqPmCI
,"Thanks to our growing list of Patreon Sponsors and Channel Members for supporting the channel. https://www.patreon.com/PatrickBoyleOnFinance : Paul Rohrbaugh, Marc De Mesel, Nate Stapleton,Timothy Baird, WIlam, Hernan Merino, Random Encounter, Nieuwsbrief Ikwil, Bee Positive Consulting, hyunjung Kim, John Cadena, Ian Tracey, Callum McLean, Oscar, Simon Pena, Ed, Pavle Obradovic, Erik Van Ekelenburg, David O'Connor, Pjotr Bekkering, Alex, Robert W Proudfoot, Robert Muller, Andre Michel, Ivan Iliev, Gopaljee Atulya, Mark Hooker, Artem Vasenin, P H, Sebastian, Michal Lacko, Peter Bočan, Michael Pierce, V Jordan, Gil, HalfwitHam, Mark Brophy, David Urdenata, Juan Valdez, Bruce Roberts, Chad Norman, Bruce Roberts, Shamikh Rana, Friday Guy, Marc De Mesel, Augusto Ramos, Soy Boomer Doomer, Bob Slartabartfast, Robert Feiler, Camil Dbouk, Erik Montesinos, Matthew Loos, Az Indragiri, Aman Bali, Lautaro Parada, Pratap, Deborah Joseph, Robin Sung, Kurt Johnston, Dominik Auerbach, Gurmeet Kaushal, John Hall, Dara Mo, Josef Goergen, Wilbert Cheng, Jaroslav Tupý, Trevor Lucey JB Weld, Alex, Carlos Figuera, Peter Pomelov, Null065, Rick Thor, MeBerzerk, Henry Nguyen, Sola F, The Collier, Carlos Mejia, J Wadia, Bitcoin OG, easy boekhouding, Albert, Eugene Jung, Daniel Cervini, Jonathon Yong, Iris Ji, Emil Nicolaie Perhinschi, Charles, Eli Auto, Excks, Michael Li, Par Hedman, Praveen Mishra, Gerard Scott, joel köykkä, Areeb Ahmed, David Wang, Yazan Qaraqish, Rodolfo Cornetti, Daniel Winroth, johnny, Nick Jerrat, Chris Houston, Alastair Currie, Robert Griffin, Andrei, zizi Golo, Fab Vida, Constantin Petrenco, pawel irisik, NotAScam, James Halliday, 22 Dust, Carsten Baukrowitz, Heinrich, Arron T, Ben Brown, Stephen Mortimer (to The Moon), Ryan B. Hicks, Liam, Logan Vrankovic, William Heaton, Paul McCourt, Daniel, Aaryan Koura, Steven, Christopher Boersma, Ulf Lundblad, Dorothy Watson, Greg Blake, Simon Bone, Livermores Quant, The Collier Report, Scott Gardner, The Man Koala, Brian McCullough, Daniel S. Smith, Finance Student, Julie, Mohammad Rehman, James Wallace, Daniel Poellmann, Edosa Odigie, Dixon Yuen, Marek Novák, Stamatis Drepaniotis Michael Smith, Ahmed Hamadto, Chris Davey, Mike Farmwald, Michael A. Mayo, Lachezar Georgiev, Kamet Batra, Bradley Johnson, Sagar Gudi, Michael Chessar, Kate ATL, Tong Cheung, Lady Dje, James Barnes, Chris Hall, Kurt Johnston, ICBM Catcher Juan Valdes, Linn Engström, Veltsh, Konrad P-kala, Pastacat, Adam Vorting, Matthew McQuade, Christopher Lesner, freebird, Kenneth WedMore Lund, erfective, Jason Young, Jonathan Kopnick, Peter Hendrickson, steel, Bastien, Tom Willett, Chris Whitehead, Anil Jason, JOJO, AS7, Greg Thatcher, Ezekiel Templin, MrLuigi1138, Leszek Frankowski, Nam Nguyen, Karim THIBAULT, C, David R. Ingemi, Robert Wave, Dmitri Alexeev, Aaron Rose, Ethan Hernandez, Claude Chevroulet, Stephan Marosvary, Louis Julien, Jan Lukas Kiermeyer, Gearoid O Connor, Fredrick Saupe, Subliminal Transformation, Alex McMahon, Adi, Ben, Kurt Mueller, Janusz Wieczorek, Federico Viscomi, Corgi, Mahdi, Burgerinn, Quinn Cone, QiKaiQian, Stephen, Joshua Rosenthal, Frank Yashar, Michael Smith, Emilian Marius Tudor, Julian Aßmann, Cormac, Ian Shearer, Michael Kopřiva, Tinni, Goran Milivojevic, Joe Del Vicario, Alexandre Mah, ultima9, Norman A. Letterman, maRiano polidoRi, Stephan Prinz, Gary Yrag, Mattia Midali, Matthew Berry, Ann Williams, Jay T, Gabor, Florian Haas, Shivendra Saklani, Zachary Tu, Jeffrey, Lane Alan Deyoe, Chett Flynn Jonathan Horn, Mo Herbert, Lane Andrews, Justin Thuet, Olaf Thiele, Ivan Ilaev, Todd Gross, Douglas Caldwell, Wade Hobbs, Volodymyr Palii, James Hoctor, Gavotti SGP, Ryne Davis, Jean-Philippe Lemoussu, Keanu Thierolf, Muhammad, Michael Chow, Stefan Alexander, Miroslav Ognyanov, Scott Guthery, Vanya Davidenko, Arto Karhu, James Bache, Jason Harner, Dale Patch, Stefan Penner, Mischa Trunz, Arvid, Eric, Jonathan Metter, Junhong Low, John Way, Maria Baker, Luke Solomon, Sharath Vulupala, Keith Elkin, Chris Nicholl, Luis Carmona, Vinci Chan, Olivier, Yasha, James Yoh, Eduardo Martinez, Adi Blue, Swain Gant, georgejr, hyeora, old gambling art bag, Boussaken, Lukas Braszus, Vik, Chris Albertson, Sprite_tm, matt f, Douglas Caldwell, Adgn, Ronald London, Chris Rock, Tuan Nguyen Minh, Daniel Baak, Jeremy King, Julien Debache, M1, Dougald Middleton, Tom, Diarmuid Kelly, Subodh Kafle, Gregory Mahoney, Angelo Rauseo, Kirsten Banuelos, Ryne Davis, Era, Anne Molphy, Ekaterina Lukyanets, Alfred, sugarfrosted, Okkie, Larry, Sarah, miilo, EatEmAll, Alexandre GUYAMIER-CROISSANT, Alex C, Henk S, Noel Kurth, John Tran, Daniel Soderberg, Daniel Ralea, Steve Crotti, Shaun Deanesh, DaFlesh,Nathan McIntosh, Dominique Buri, B P, Manmeet Sheera, Stephen Walker, Richard Stagg, Bo Grünberger, Justin Sublette, Zackk, R, Omega Universas, Paul Twilley, 인기 김, Dennis Arthur Rose, Louis Görtz, Arjun K.S, josef strand, Simon Crosby, Alex Do, Minnah seoh, Ljube Boskovski, Bertrand Barroux, Jacob Snedaker, Edgar De Sola, Izidor Vetrih, WhiskeyTuesday, Vic Tan, Compuart, Felix Goroncy, Nick Top, Anita Mui, C.J. Christie, lazypikachu23, Olivia Ney, Steven, Jordan Millar, Reagan Glazier, Viki Rebic, Adrian, Adam Kobus, KoolJBlack, Deborah R. Moore, Alonso Ibarra, sam, Dru Hill, Dean Maurer, Tim Jamison, gavin, Ultramagic, HEWHOSHALLNOTBENAMED, Nigel Knight, Daniel Winroth, Paul Niekamp, Job Zamora, Zhnjy, Brian K. Lee, Tony Bianucci, storm, scott johnson, joevan burke, Suzy Maclay, Just Plain Old Boring Mike, Fernando Garcia, Agatha DeStories, Chris Peterson, Nesh Hassan, Molly Carr, Christan, Michael Jones, Ross P, Conor Rainey, Milos Krljanovic, Laura Sanborn, Richard Hagen, Nicholas Muller, Adam Stickney, Peter Weiden, Mate Visky, RVM, Brainless, Marcio Andreazzi, Anand Norman, Yih Pin, Ziad Azam, petros ventouris, Justin Zander, Jonathan, STEPHEN INGRAM, Panks, Michael Wilson, Peter Luu, Gregory Lethbridge, Daan Jetten, Ivan Katanic, Benjamin, Boris Azais, Flanneryo, EricO, DoubleWhy, Paul Hilscher, dz, Manuel Barkhau, Gaurav Batta, Earnest Williams, Harun Akyürek, Dionysis Partsinevelos, toufik ouriachi, Maximiliano Rios, Claire Walsh, AT, Atanas Atanasov, William J. Murphy, Tom Eccles, Matthew Lang, Matthew Wehttam, Fernanda Alario, nishil, Alfred Tagher, Ulf Lundblad, Weijie Diao, Dave Jones, Matthew Colter, Alan Medina, Georgios Kontogiannis, M, Kirandeep Kaur, Charles, Jacob Wachala, William Ching, Omer Secer, Clement Schoepfer, Tarek Rabbani, Sofia Tuff, Christopher Brennan, A M, Ivo Stoicov,  and Yoshinao Kumagai",0.9274,0.4553706709956709,06-03-2023,8,1,https://www.youtube.com/watch?v=_iMItrc0ChU
              euphade            ,I'm surprise you didn't talk about ibms watson too. I really don't get the ai craze right now we already have ai and it sometimes does make money.,0.128,0.3678571428571429,06-03-2023,1,0,https://www.youtube.com/watch?v=_iMItrc0ChU
,"Hi everyone, exactly a week ago, we conducted a quiz contest in this video. The answer to the quiz is given below:
Option D: AI that develops emotions over time
Explanation: An AI which develops emotions does not exist as of now. Such an AI would be classified as Strong AI and we haven't yet cracked the code for it. Option D is the correct answer.

- Saudi Arabi has granted citizenship to an AI named Sophia.
- Kengoro is an AI robot built by some Japanese researchers that has an intricate muscular system.
- IBM Watson has the capability to recognize emotions based on speech and their undertone. 
Hence, options A, B and C are wrong.

We are pleased to announce the 3 lucky winners who got the right answer for our quiz:
1. Eragon Ritter
2. Sree Arpita
3. Jorge Bassig
Congratulations to all the winners! They've won an Amazon voucher worth INR 500.",0.9801,0.5391534391534392,None,53,0,https://www.youtube.com/watch?v=ad79nYk2keg
              Eragon Ritter            ,"A - Robot with citizenship exists
B- robots with muscular skeltal system exists (e.g. Festo is building a lot of robots with muscular systems)
C - AI can read human emotions by words and face recognition (e.g. IBM Watson has capabilities for Emotion Detection among others)
D- AI that does develop emotions over time does not exists yet and there is a lot of work needed to develop an AI that is capable of developing emotions


So the Answer is D.",0.3818,0.25,17-03-2020,65,0,https://www.youtube.com/watch?v=ad79nYk2keg
              DudeAbides            ,This is essentially freeware Watson.  Or Watson for the masses.,0.1779,0.3,17-02-2023,0,0,https://www.youtube.com/watch?v=kh5dN72GTQ8
              chris            ,CHATGPT: WE HAVE A BIAS PROBLEM BY PAUL JOSEPH WATSON,-0.4767,0.0,17-02-2023,0,0,https://www.youtube.com/watch?v=kh5dN72GTQ8
              sophie is an idiot            ,"In basic terms, AI is a broad area of computer science that makes machines seem like they have human intelligence. So it’s not only programming a computer to drive a car by obeying traffic signals, but it’s when that program also learns to exhibit signs of human-like road rage. As intimidating as it may seem, this technology isn’t new. Actually, for the past half a century, it’s been an idea of its time. The term “artificial intelligence” was first coined back in 1956 by Dartmouth professor John McCarthy. He called together a group of computer scientists and mathematicians to see if machines could learn like a young child does, using trial and error to develop formal reasoning. The project proposal says they’ll figure out how to make machines “use language, form abstractions, and concepts, solve kinds of problems now reserved for humans, and improve themselves.” That was more than 60 years ago. Since then, AI has remains for the most part in universities classrooms and super secret labs. But that’s changing. Like all exponential curves, it’s hard to tell when a line that’s slowly ticking upwards is going to skyrocket. But during the past few years, a couple of factors have led to AI becoming the next “big” thing. First, huge amounts of data are being created every minute. In fact, 90% of the world’s data has been generated in the past two years. And now thanks to advances in processing speeds, computers can actually make sense of all this information more quickly. Because of this, tech giant and venture capitalists bought into AI and are infusing the market with cash and new applications. Very soon, AI will become a little less artificial, and a lot more intelligent. Now the question is, should you brace yourself for yet another terminator movie, live on your city streets? Not exactly. In fact, stop thinking of robots. When it comes to AI, a robot is nothing more than the shell concealing what’s actually used to power the technology. That means AI can manifest itself in many different ways. Let’s break down the options. First, you have your bots. They’re text-based and incredibly powerful, but they have limitations. Ask a weather bot for the forecast, and it will tell you it’s partly cloudy with a high of 57. But ask that same bot what time it is in Tokyo, and it’ll get a little confused. That’s because the bot’s creator only programmed it to give you the weather by pulling from a specific data source. Natural language processing makes these bots a bit more sophisticated. When you ask Siri or Cortana where the closest gas station is, it’s really just translating your voice into text, feeding it to a search engine, and reading the answer back in human syntax. So in other words, you don’t have to speak in code. At the far end of the spectrum is machine learning, and honestly, it’s one of the most exciting areas of AI. Like a human, a machine retains information and becomes smarter over time. But unlike a human, its not susceptible to things like short-term memory loss, information overload, sleep deprivation, and distractions. But how do these machines actually learn? Well, while it may be easy for a human to know the difference between a cat and a dog, for a computer, not so much. You see, when you’re only considering physical appearance, the difference between cats and dogs can be a little gray. You can say cats have pointed ears and dogs have floppy ears, but those rules aren’t universal. Between tail length, fur texture, and color, there are a lot of options, and that means a lot of tedious rules someone would have to program manually to help a computer spot the difference. But remember - machine learning is about making machine learn like humans. And any toddler, that means they have to learn by experience. With machine learning, programs analyze thousands of examples to build an algorithm. It then tweaks the algorithm based on if it achieves its goal. Over time, the program actually gets smarter. That’s how machines like IBM’s Watson can diagnose cancer, compose classical symphonies, or crush Ken Jennings at Jeopardy. Some programs even mimic the way the human brain is structured, complete with neural networks that help humans and now machines solve problems. Generations have long imagined the ramifications of AI, visualizing a society where machines seek revenge and wreak havoc on human society. However, the more logical and pressing question is: How will AI affect your job? Will it make your work obsolete? Just like the Industrial Revolution, it’s not human versus machine. It’s human and machine versus problem. The point is that artificial intelligence helps you accomplish more in less time, taking on the repetitive tasks of your job while you master the strategy and relationships. That way, humans can do what they do best: be human.",0.9933,0.4124725671154244,None,5,0,https://www.youtube.com/watch?v=mJeNghZXtMo
